Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities,Appliances,Elevator,Room Area,Balcony,Floor,Links
House,Stone,400 sq.m.,2,7,3+,Designer Renovation,1000 sq.m.,Yerevan › Kentron,"$2,500 monthly",USD,"2-storey spacious, bright private house is for long-term rent in Nork Marash, residential:The house is fully renovated, completely fencedTranslated from Armenian",Nov-24-2022_22-39,Available,1 spot,6,Yes,Yes,Not included,2 months,,,,,,,https://list.am/en/item/17986207
House,Stone,288 sq.m.,2,5,2,Major Renovation,144 sq.m.,Yerevan › Kentron,"$3,000 monthly",USD,"Two-story private house for rent on Proshyan street. The private house is renovated, a heating boiler is installed, necessary furniture is available.Code 9510Translated from Armenian",Nov-24-2022_22-39,Available,1 spot,7,Yes,Yes,Not included,2 months,,,,,,,https://list.am/en/item/18140675
House,Stone,350 sq.m.,1,3,1,Partial Renovation,350 sq.m.,"Սերո Խանզադյան փողոց, Երևան","$140,000 monthly",USD,"Urgent sale 4s. Private house, the area of the residential building is 70 square meters. + 70 sq. M. The land area is 350 sq. M.It has an orchard, the structure is made of stone, wooden windows are installed, the gates of the entrance parking lot are installed, the door is made of iron. It has a wonderful view, it is in the immediate vicinity of the Bellagio restaurant complex. The land is located in such a position that the whole city can be seen. Sold for land price only, well below market price. It has a suitable frontage for building a normal private house.The apartment is shown only after signing the service contractTranslated from Armenian",Nov-24-2022_22-39,,,,,,,,,,,,,,https://list.am/en/item/17501300
House,Stone,320 sq.m.,1,3,1,Designer Renovation,120 sq.m.,"Nerqin Shengavit 13-th street 1, Yerevan","70,000 ֏ monthly",AMD,"Please read the announcement before calling.A private house for rent is located in Inner Shengavit at the last stop of number twenty. Family, Orange and Inessa supermarkets are nearby. The house is equipped with state-of-the-art equipment and a heating, security system. It has internet. It is completely renovated and with designer solutions. Given one or TWO GIRLS... One hundred and thirty thousand in case of two. And for one person Seventy thousand. For details, call VATSAP and viber of the mentioned phone numbers because I am outside the country.I should also mention that the price is affordable for him because my mother also lives there. He is very kind. The housekeeper. He will help you at the same time. She is a 52-year-old woman.Translated from Armenian",Nov-24-2022_22-39,Available,1 spot,2,No,No,Included,2 weeks,,,,,,,https://list.am/en/item/18141909
House,Stone,300 sq.m.,3,5,3+,Euro Renovation,80 sq.m.,Yerevan › Kanaker-Zeytun,"1,500,000 ֏ monthly",AMD,"Office space for rent, front line parking, no problem, with all utilities.Translated from Armenian",Nov-24-2022_22-39,,1 spot,8+,Yes,Yes,Included,Without prepayment,,,,,,,https://list.am/en/item/18286383
House,Stone,200 sq.m.,2,5,2,Major Renovation,,"Zakaria Sarkavag street, Yerevan","$2,000 monthly",USD,"2 հարկանի առանձնատուն, վերանորոգված, կահավորված, տեխնիակ, ավատոմատ լվացքի մեքենա, 2 սանհանգույց, Բաքսի, լողավազանԿոդ SS-215",Nov-24-2022_22-39,,,8+,Yes,Yes,Not included,By Agreement,,,,,,,https://list.am/en/item/10553083
House,Stone,35 sq.m.,1,1,1,Major Renovation,30 sq.m.,Yerevan › Kentron,"290,000 ֏ monthly",AMD,Здается 1.комнатная квартиа на Мурацан Ростовяна перекрёсток. С евроремонтом и с мебелью и с техникой. 5 этажного каменного дома на 3 этаже со всеми удобствами евроремонтом новый с мебелью и с техникой бакси отопленя стиральные машинка. Холодильник. Буду купить еще новый кровать. Депозит 300.000 внимание здается квартира с 15 октября. Ул. Ростовян,Nov-24-2022_22-39,,,,,,,,,,,,,,https://list.am/en/item/18085953
House,Stone,200 sq.m.,2,5,2,Designer Renovation,,"Ծխախոտագործների փողոց 10/2, Երևան","750,000 ֏ monthly",AMD,"Տունը գտնվում է երեք հարկանի սեփական տան երկրորդ և երրորդ հարկերում, ամբողջովին վերանորոգված, ունի տաք և սառը ջուր շուրջօրյա, գազաֆիկացված, բաց պատժգամբ, ամբողջական կոմունալ հարմարություններով (խահանոցային գույք, հյուրասենյակի կահավորանք, ննջասենյակի կահավորանք, WiFi ինտերնետ, հեռուստացույց կաբելային) ։Дом расположен на втором и третьем этажах трехэтажного частного дома, полностью отремонтирован, круглосуточно горячая и холодная вода, газификация, открытый терраса, в комплекте с коммуникациями (шкафы, мебель для гостиной, спальни, WiFi интернет, кабельное ТВ)",Nov-24-2022_22-39,Available,Not available,3,Yes,No,Not included,1 month,,,,,,,https://list.am/en/item/18375863
House,Stone,242 sq.m.,2,3,1,Designer Renovation,500 sq.m.,"Ghapantsian street, Yerevan","$3,000 monthly",USD,"VAR5002Վարձով հարմարավետ, ընդարձակ, բոլոր կոմունալ հարմարություններով ապահովված տուն Արաբկիրում՝ Ղափանցյան փողոցումԱյն ապահովված է բոլոր անհրաժեշտ հարմարություններով.• Մշտական տաք և սառը ջուր, գազ• Իդեալական մաքրություն• Վերանորոգված մուտք• Առաջին գիծ փողոցի վրա• Սանհագույցը սալիկապատված4 room comfortable, large house for rent in Arabkir - Ghapantsyan streetIt is supplied with all necessary amenities.• Constant hot and cold water, gas• Clean and neat rooms• Renovated entrance• First Line on the main street• Shower room is tiledԱյլ մանրամասների համար կարող եք զանգահարել նշված հեռախոսահամարովկամ գրել Whatsapp-ին + 374",Nov-24-2022_22-39,,2 spots,7,Yes,Yes,Not included,By Agreement,,,,,,,https://list.am/en/item/14310511
House,Monolith,130 sq.m.,1,4,1,Major Renovation,600 sq.m.,"Շրջանցիկ Թունել փողոց 2/12, Երևան","$1,800 monthly",USD,The house is fully renovatedIs available1. Constant hot and cold water2. Air conditioner3. Car parkingThe rest by callingYou can call at any time of the dayAlso $100 per dayTranslated from Armenian,Nov-24-2022_22-39,,,8+,Yes,Yes,Not included,1 month,,,,,,,https://list.am/en/item/18375812
House,Stone,50 sq.m.,1,2,1,Major Renovation,10 sq.m.,Yerevan › Kentron,"18,000 ֏ daily",AMD,"New, excellently renovated apartment in the center of the city, on Ervand Kochar street, is for daily rent. It is equipped with the necessary furniture and appliances. Is close to the republic squareTranslated from Armenian",Nov-24-2022_22-39,,,,,,,,,,,,,,https://list.am/en/item/18252559
Country House,Stone,380 sq.m.,3,5,3+,Designer Renovation,1200 sq.m.,"Պարույր Սևակ թաղամաս 2-րդ փողոց 34, Առինջ","$3,000 monthly",USD,A luxurious private house in Avan is for rent.The mansion has:5 bedrooms3 bathroomsGymLounge area with fireplaceSauna/plunge poolAll necessary appliances and furniture are availableA large orchardOutdoor swimming poolSpacious pavilionGrill and toast for cookingTranslated from Armenian,Nov-24-2022_22-39,Available,1 spot,8+,Yes,No,By Agreement,By Agreement,,,,,,,https://list.am/en/item/18375785
House,Stone,43 sq.m.,4+,1,1,Euro Renovation,,Yerevan › Kentron,"12,500 ֏ daily",AMD,Очен хороший квартира,Nov-24-2022_22-39,,,,,,,,,,,,,,https://list.am/en/item/18375775
House,Stone,110 sq.m.,2,5,1,Major Renovation,150 sq.m.,Yerevan › Kentron,"$2,000 monthly",USD,"2-storey private house is for rent in the center, near Prospect closed market.The house has constant hot and cold water, individual heating system, air conditioner. The apartment is fully renovated, the entrance door is iron, the bathroom is tiled, the windows are of European production.Code MH124Translated from Armenian",Nov-24-2022_22-39,Available,Not available,6,Yes,No,Not included,2 months,,,,,,,https://list.am/en/item/17438958
House,Stone,250 sq.m.,2,4,2,Major Renovation,250 sq.m.,"Charents street, Yerevan","$1,700 monthly",USD,"Здаеться дуплекс квартира на улице Чаренц, общая площадь 250кв, м. Для первой необходимости всё в квартире есть. На втором этаже 3 отдельные спальни, кондиционер, отопление, пасуда есть. Две отдельные санузла. Ещё есть две открытый балкон. По близости есть все необходимое коммуникацииԿոդ MH137",Nov-24-2022_22-39,Available,Not available,8+,Yes,No,Not included,2 months,,,,,,,https://list.am/en/item/17665223
House,Stone,100 sq.m.,1,3,2,Euro Renovation,500 sq.m.,Yerevan › Nork-Marash,"$1,400 monthly",USD,"Сдаётся в аренду 3 комнотный собственный дом,В Норк марше. Все удобство есть для проживание. Посудомойка, стиральная машина, большой двор, с бисеткой мангалом и кухней. С домашним животным можно. Минимум 6 месяца с депозитом. Будет свободно 15-ого сентября.Կոդ MH8899Translated from Armenian",Nov-24-2022_22-39,Available,Not available,5,Yes,No,Not included,2 months,,,,,,,https://list.am/en/item/16856405
House,Stone,150 sq.m.,2,5,2,Euro Renovation,550 sq.m.,Yerevan › Nork-Marash,"$2,500 monthly",USD,"Վարձով է տրվում Սեփական տուն Նորք Մարաշում, 550քմ պարիսպապատ հողամասով, տան մակերես 75քմ, 2հարկ ընդանուր 150 քմ, կապիտալ կառուցված: Ունի մշտական տաք սառը ջուր, BAXi համակարգ, օդորակիչ, սպասք լվանալու սարք:Сдаётся 4х комнатная собственый дом. На Норк Мараш улица 11. Дом полностью отремонтирована (евроремонт) В доме есть автономное отопление, нужная мебель (посуда) икондицеонер, посудомойка. В доме три спальня и две санузела.Կոդ T0004",Nov-24-2022_22-39,Available,Not available,8+,Yes,Yes,Not included,2 months,"TElevision, internet, air conditioner, swimming pool, sauna, barbecue oven, billiard, gazebo, alarm system","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer",,,,,https://list.am/en/item/16856397
House,Stone,260 sq.m.,2,5,2,Euro Renovation,460 sq.m.,Yerevan › Kanaker-Zeytun,"$1,600 monthly",USD,"Code: D-221662-storey newly built private house with 460 square meters of land and 260 square meters of living space is for rent in Kanaker, Sarkavagi Street, first line, near the Chinese school. The house is euro-renovated. It has 5 rooms, a kitchen, 2 bathrooms, a swimming pool, a heating system, a garage for 3 cars. For rent with all the property and equipment, long-term.The agency commission is 50%, an exhibition contract is signed for the exhibitions. Please have your ID.The commission of the Real Estate Agency is 50%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.Translated from Armenian",Nov-24-2022_22-39,Available,3 or more spots,3,Yes,No,Not included,2 months,,,,,,,https://list.am/en/item/17734358
House,Stone,90 sq.m.,1,3,1,Major Renovation,350 sq.m.,"Zakaria Sarkavag street, Yerevan","600,000 ֏ monthly",AMD,"Կոդ՝ D-228853 հարկանի քարե շենքի առաջին հարկում Վարձով է տրվում 3 սենյականոց առանձնատուն և 170քմ․ կոմերցիոն տարածք Սարկավագի Փողոցում։ Առանձնատունը կապիտալ վերանորոգված է։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ մանրահատակ, սանհանգույցը՝ առանձին, նորաոճ սալիկապատ։ Ունի նաև կոմերցիոն տարածք, որը տրվում է տան հետ միասին՝ 170քմ․։ Առանձնատունն ունի բարեկարգ բակ, այգի, տաղավար, ջեռուցման համակարգ, մշտական ջուր և գազ։Գործակալության միջնորդավճարը կազմում է 50%, ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։1-storey house for rent in Sarkavag Street. The rooms' quantity is 3. The house is newly renovated. The entrance door is iron-made, the windows are euro-based, the floor is covered by parquet, the bathroom is separate and modern tiled. The house has nice yard, garden, pavilion, heating system and is supplied with constant water and gas.The commission of the Real Estate Agency is 50%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.",Nov-24-2022_22-39,Available,Not available,5,Yes,No,Not included,2 months,,,,,,,https://list.am/en/item/18222959
House,Stone,95 sq.m.,1,3,1,Designer Renovation,400 sq.m.,"Դավթաշեն 3-րդ թաղամաս 12/2, Երևան","400,000 ֏ monthly",AMD,"For rent together with furniture and equipment, brand new, heating system, air conditioner, yard, summer kitchen, trees, flowersTranslated from Armenian",Nov-24-2022_22-39,,,,,,,,,,,,,,https://list.am/en/item/16576887
House,Stone,300 sq.m.,2,5,3+,Major Renovation,,Yerevan › Davitashen,$200 daily,USD,Luxurious private house in ZovuniCode AH848Translated from Armenian,Nov-24-2022_22-39,,,8+,Yes,No,Not included,By Agreement,,,,,,,https://list.am/en/item/12640538
House,Stone,1815 sq.m.,3,7,3+,No Renovation,2146 sq.m.,"Eghvard highway 6/1, Yerevan","$11,000 monthly",USD,"A private house with its own plot of land is for rent, near the Davitashen bridge.Address: C. Yerevan, Davtashen ham, Yeghvardi highway No. 6/1The area of the mansion is 1814.4 square meters, the land area is 2146 square meters.The rental price is equivalent to 11,000 USD along with the plot of land, without commission directly from the owner.It is suitable for treatment. For long-term rental of institutions, embassies, offices, IT centers, educational centers, preschools.Translated from Armenian",Nov-24-2022_22-39,,,,,,,,,,,,,,https://list.am/en/item/18281828
House,Stone,480 sq.m.,4+,8+,3+,Major Renovation,480 sq.m.,"Varshavyan street, Yerevan","$4,000 monthly",USD,"A four-storey detached house is for rent on Barshavyan Street, next to Azatutyun Avenue. It is completely renovated, heated with a central heating system. The house has 6 bedrooms and 3 living rooms.Translated from Armenian",Nov-24-2022_22-39,Available,1 spot,8+,Yes,Yes,Not included,1 month,,,,,,,https://list.am/en/item/18282113
House,Stone,1500 sq.m.,4+,8+,3+,Major Renovation,1500 sq.m.,"Karapet Ulnetsi Street, Yerevan","$9,000 monthly",USD,"Four-storey detached house for rent on Karapet Ulnetsi street. It has an outdoor pool, a spacious yard. The mansion consists of:3-living room6-bedroom3-office4-bathroomEach floor has an open balcony with a beautiful view.Translated from Armenian",Nov-24-2022_22-39,Available,3 or more spots,8+,Yes,Yes,Not included,1 month,,,,,,,https://list.am/en/item/18073489
House,Stone,850 sq.m.,2,6,2,Major Renovation,850 sq.m.,"Tbilisian Highway, Yerevan","$3,500 monthly",USD,"Private house for rent in Tbilisi highway. Completely renovated. It is heated with a baxi system, there is also an air conditioner. It has a spacious yard and a pavilion. Office space will also be provided as. For more information call:Translated from Armenian",Nov-24-2022_22-39,,3 or more spots,8+,Yes,No,Not included,By Agreement,,,,,,,https://list.am/en/item/18249555
House,Stone,900 sq.m.,4+,6,3+,Major Renovation,900 sq.m.,"Babayan street, Yerevan","$4,500 monthly",USD,"A 4-storey private house is for rent on Babayan street. It has a spacious yard, parking space for two cars. It has a sauna, swimming pool and 1 bathroom on the first floor. On the second floor: Spacious living room, kitchen, bathroom and 1 bedroom. On the third floor: Hall, bathroom,5 bedrooms, one of which has its own bathroom and an open balcony. One spacious room and 1 bathroom on the fourth floor.Translated from Armenian",Nov-24-2022_22-39,,,8+,Yes,Yes,Not included,By Agreement,,,,,,,https://list.am/en/item/18249639
House,Stone,240 sq.m.,2,4,2,Major Renovation,240 sq.m.,"Mamikonyants street, Yerevan","$2,000 monthly",USD,"A private house is for rent on Mamikonyants street. It is two floors, capital renovated. It has three bedrooms and one spacious living room. A heating system is installed. For more information call:Translated from Armenian",Nov-24-2022_22-39,,,,,,,,,,,,,,https://list.am/en/item/18124599
House,Monolith,500 sq.m.,3,6,2,Major Renovation,500 sq.m.,"Ghapantsian street, Yerevan","$2,500 monthly",USD,"A three-story private house is for rent on Ghapantsyan Street. The house is completely renovated, a heating system is installed.It has a spacious yard and a garage. For more information call:Translated from Armenian",Nov-24-2022_22-39,Available,3 or more spots,8+,Yes,No,Not included,By Agreement,,,,,,,https://list.am/en/item/18224043
House,Stone,220 sq.m.,2,5,2,Major Renovation,220 sq.m.,"Nairi Zaryan street, Yerevan","$2,000 monthly",USD,"Private house for rent N. On Zaryan street. It is fully repaired, heating system is installed. The house has 4 bedrooms and 1 spacious living room. It has a very beautiful, spacious yard. For more information call:Translated from Armenian",Nov-24-2022_22-39,Available,3 or more spots,8+,Yes,Yes,Not included,1 month,,,,,,,https://list.am/en/item/17842143
House,Stone,590 sq.m.,4+,8+,3+,Major Renovation,590 sq.m.,"Karmir Blur street, Yerevan","$5,000 monthly",USD,"A four-storey detached house is for rent in the beginning of the Blur district, near the Kyivan - Orbel intersection. It is renovated in Euro, equipped with necessary furniture and appliances. The entire house is heated with a central heating system, there are air conditioners. The house has 7 bedrooms, 4 of which have their own bathrooms. There is a covered parking lot and a sauna. It has a nice yard with an outdoor pool. The mansion can also serve as a commercial space. Call for details, we will gladly answer.Translated from Armenian",Nov-24-2022_22-39,,,8+,Yes,No,Not included,1 month,,,,,,,https://list.am/en/item/18282788
House,Stone,600 sq.m.,4+,8+,3+,Major Renovation,600 sq.m.,"Hovsep Emin street, Yerevan","$5,000 monthly",USD,"Private house for rent H. On Emin street: A. Near Khachatryan Zovk. It has four floors and has been completely renovated. It has a very beautiful view overlooking the valley. It has a spacious yard, a beautiful garden, a pavilion, a swimming pool and a playroom and a garage. For more information call:Translated from Armenian",Nov-24-2022_22-39,Available,2 spots,8+,Yes,Yes,Not included,1 month,,,,,,,https://list.am/en/item/18354196
House,Stone,400 sq.m.,2,4,2,Major Renovation,400 sq.m.,"Tavrizyan street, Yerevan","$3,000 monthly",USD,"A two-story private house is for rent on Tavrizyan street. The house is completely renovated with all the available utilities. Equipped with necessary furniture and appliances. It is heated with a baxi system, there is an air conditioner. Can also serve as commercial space. For more information call:Will be free on January 7th.Translated from Armenian",Nov-24-2022_22-39,Available,1 spot,8+,Yes,Negotiable,Not included,By Agreement,,,,,,,https://list.am/en/item/18355023
House,Stone,125 sq.m.,2,3,1,Euro Renovation,,Yerevan › Shengavit,"400,000 ֏ monthly",AMD,"On the 2nd floor of the own house, with a separate entrance, renovated, uninhabitedAll utilities are available.Fully furnishedCode AD 108Translated from Armenian",Nov-24-2022_22-39,,,,,,,,,,,,,,https://list.am/en/item/18375609
House,Stone,400 sq.m.,4+,7,3+,Major Renovation,400 sq.m.,"Aygedzor street, Yerevan","$2,500 monthly",USD,"7-room private house is for rent in the center of Yerevan, on Aygedzor street.The house is suitable for both residential and office use.Code GH131Translated from Armenian",Nov-24-2022_22-39,,,,,,,,,,,,,,https://list.am/en/item/17125313
House,Stone,67 sq.m.,1,2,1,Major Renovation,75 sq.m.,"Nerqin Shengavit 3-rd street, Yerevan","12,000 ֏ daily",AMD,"One-storey private house is for rent on Shengavit 3rd street, newly renovated, furnished, everything necessary for living is in new condition, the necessary shops, a school and a kindergarten are nearby. The house can accommodate from 1 to 3 people with a family, the minimum reservation is 7 days.Translated from Armenian",Nov-24-2022_22-39,,,,,,,,,,,,,,https://list.am/en/item/16882360
House,Stone,58 sq.m.,1,2,1,Designer Renovation,,"Babayan street, Yerevan","$1,800 daily",USD,"A comfortable and bright 2-room house of 58 sq. M. Is for long-term rent. Area, which is located in Monument, next to the park. The house is renovated in a designer style, furnished and equipped with necessary appliances and dishes. There is also a fireplace. It is heated by a boiler, there is also an air conditioner. Entrance is separate. Outdoor parking is available in the yard. A beautiful view of the statue of Mother Armenia opens from the balcony. There is also a garden with fruit trees. The house will be available from December 5th.Translated from Armenian",Nov-24-2022_22-39,Available,1 spot,3,Negotiable,No,Not included,By Agreement,"TElevision, internet, air conditioner, fireplace, gazebo","FRidge, stove, washing machine, iron",,,,,https://list.am/en/item/18286465
House,Stone,70 sq.m.,2,3,1,Euro Renovation,,"Nor Aresh 11rd street, Yerevan","220,000 ֏ monthly",AMD,"KOD-630513-room house for rent in Shengavit.^ The house has all the utilities for living^ It is a sunny, bright and beautiful house to live in^ It is a clean house, fully renovated^ There are all the necessary shops, a school, a kindergarten nearby^ There is a heating systemTranslated from Armenian",Nov-24-2022_22-39,Available,1 spot,4,Yes,No,Not included,1 month,,,,,,,https://list.am/en/item/17352439
House,Stone,105 sq.m.,2,3,2,Major Renovation,300 sq.m.,"Դավթաշեն 1-ին թաղամաս 21/21, Երևան","$1,500 monthly",USD,"In one of the best residential districts of Yerevan, in the quietest part of Davitashen, a two-story renovated and still uninhabited private house is for rent.• The house consists of 2 floors, only the 2nd floor is for rent.The 1st floor has not been renovated yet.The 2nd floor is completely renovated, it consists of a living room, 2 bedrooms, a bathroom and a spacious open balcony. Each floor has a separate entrance.• Heating is carried out through an individual heating system.• Bathrooms are tiled and equipped with quality sanitary ware.• The floors are covered with high-quality tiles. The floors of the living room, corridors and bathroom are heated.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.Service commission: 50% of the monthly feeCode RPC053Translated from Armenian",Nov-24-2022_22-39,By agreement,Not available,8+,Yes,Yes,By Agreement,By Agreement,,,,,,,https://list.am/en/item/18245108
House,Stone,230 sq.m.,2,3,3+,Major Renovation,330 sq.m.,"Lusinyants street 1, Yerevan","$4,000 monthly",USD,"A 2-storey renovated private house is for rent near the Hrazdan stadium.• The house consists of 2 floorsOn the 1st floor there is a living room, a kitchen and a bathroomOn the 2nd floor, 2 bedrooms with their own dressing rooms and bathrooms.• It is completely renovated, equipped with property and equipment.• Heating is carried out through an individual heating system, there is an air conditioner.• The floors are covered with high-quality parquet and tiles.• Bathrooms are tiled and equipped with necessary plumbing.• The house has a beautiful open terrace where you can enjoy your rest.• There is a garage and a fireplace.• A security system is installed.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.The service commission is 50% of the monthly fee.Code SYC026Translated from Armenian",Nov-24-2022_22-39,By agreement,3 or more spots,5,Yes,Yes,Not included,1 month,,,,,,,https://list.am/en/item/18193384
