Construction Type,New Construction,Elevator,Floors in the Building,The House Has,Parking,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Amenities,Appliances,Window Views,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Links
Panels,No,Available,9,,,65 sq.m.,2,1,from 2.7 m,4,Open balcony,,Major Renovation,,,,,,,,,Lorri › Vanadzor,"200,000 ֏ monthly",AMD,"Начиная с десяти дней сдается со скидкой!Сдается также на посуточную аренду 15.000 драмов.Двухкомнатная квартира 65 квадратных метров в центре города, капитально отремонтированная, полностью оборудованная бытовой техникой и мебелью, паркет, деревянные двери, светлая, тёплая, уютная, с отоплением, есть открытый балкон, кладовая в подъезде.Ежемесячная аренда 200.000 драмов.Посуточная аренда начиная с 10-и и больше дней даётся со скидкой:10 дней - 110.000 драмовДо 15 дней - 130.000 драмовДо 20 дней - 150.000 драмовДо 25 дней - 180.000 драмовԱմսավարձով կամ օրավարձով է տրամադրվում երկու սենյականոց կապիտալ վերանորոգված, կահավորված արևկող, լուսավոր բնակարան Վանաձոր քաղաքի կենտրոնական մասում' շուկայի, կայարանի, հին եկեղեցու հարևանությամբ։ Ունի բաց պատշգամբ։ Ջեռուցվում է անհատական ջեռուցման BAXI համակարգով։Բնակարանում ապահովված կլինեն. Սպասք, բարձրորակ սպիտակ անկողին, լվացքի մեքենա, արդուկ, փոշեկուլ։ Զանգահարեք, սիրով կպատասխանենք։ Վարձակալությամբ ենք տրամադրում նաև առանձնատուն' նայեք մյուս հայտարարությունը։",Nov-24-2022_17-52,https://list.am/en/item/17238279
Stone,No,Not available,4,,,60 sq.m.,1,1,from 2.6 m,3,Open balcony,,Euro Renovation,,,,,,,,,"Ամիրյան փողոց 5, Վանաձոր","7,000 ֏ daily",AMD,"Price is negotiable, call for detailsTranslated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/17681367
Stone,No,Not available,5,,COvered parking,56 sq.m.,3,1,from 2.75 m,5,Open balcony,Available,Euro Renovation,"TElevision, internet, parking space","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer","YArd view, street view, city view, park view",4,Yes,No,Not included,By Agreement,"Tumanyan street 4, Vanadzor","10,000 ֏ daily",AMD,"Օրավարձով բնակարան Վանաձորում։Մաքուր բնակարան բոլոր կոմունալ հարմարություններով տալիս եմ օրականով։ Գինը կախված օրերի քանակից։ Կա բաքսի համակարգ, լվացքի մեքենա, հեռուստացույց, ինտերնետ ։ Միշտ մաքուր անկողին և սրբիչներ ։ Գործակալություն չէ իմ բնակարանն է։Մենք ապահովում ենք կատարյալ մաքրությունԲնակարանում տրամադրում ենք բոլոր անհրաժեշտ պարագաները` Թեյնիկ, արդուկ, ֆեն, սպասքԼվացքի մեքենա, սառնարան,սպիտակեղեն, սրբիչներ, հողաթափերԿախված հյուրերի ու օրերի քանակից, գինը ենթակա է փոփոխմանApartments for daily rent in VanadzorOne two three room apartmentsWe provide perfect cleanlinessWe provide all the necessary accessories in the apartment: Kettle, iron, hair dryer, dishesWashing machine, refrigerator, air conditionerLinen, towels, slippersDepending on the number of guests and the number of days, the price is subject to changeКвартиры посуточно в ВанадзореКвартиры от 1 до 3 комнатОбеспечиваем безупречную чистотуПредоставляем все необходимые аксессуары в квартире: Чайник, утюг, фен, посуда.Стиральная машина, холодильник,Постельное белье, полотенца, тапочки",Nov-24-2022_17-52,https://list.am/en/item/17780047
Stone,No,Not available,5,PLayground,"OUtdoor parking, covered parking",55 sq.m.,2,1,from 2.75 m,3,Open balcony,Available,Euro Renovation,"TElevision, internet, parking space","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer","YArd view, street view, city view, park view",4,Yes,No,Not included,By Agreement,"Tigran Mets Avenue, Vanadzor","9,000 ֏ daily",AMD,"Օրավարձով բնակարան Վանաձորում։Մաքուր բնակարան բոլոր կոմունալ հարմարություններով տալիս եմ օրականով։ Գինը կախված օրերի քանակից։ Կա բաքսի համակարգ, լվացքի մեքենա, հեռուստացույց, ինտերնետ ։ Միշտ մաքուր անկողին և սրբիչներ ։ Գործակալություն չէ իմ բնակարանն է։Մենք ապահովում ենք կատարյալ մաքրությունԲնակարանում տրամադրում ենք բոլոր անհրաժեշտ պարագաները` Թեյնիկ, արդուկ, ֆեն, սպասքԼվացքի մեքենա, սառնարան,սպիտակեղեն, սրբիչներ, հողաթափերԿախված հյուրերի ու օրերի քանակից, գինը ենթակա է փոփոխմանApartments for daily rent in VanadzorOne two three room apartmentsWe provide perfect cleanlinessWe provide all the necessary accessories in the apartment: Kettle, iron, hair dryer, dishesWashing machine, refrigerator, air conditionerLinen, towels, slippersDepending on the number of guests and the number of days, the price is subject to changeКвартиры посуточно в ВанадзореКвартиры от 1 до 3 комнатОбеспечиваем безупречную чистотуПредоставляем все необходимые аксессуары в квартире: Чайник, утюг, фен, посуда.Стиральная машина, холодильник,Постельное белье, полотенца, тапочки",Nov-24-2022_17-52,https://list.am/en/item/17779987
Stone,No,Not available,2,,,120 sq.m.,4,1,from 2.75 m,2,Closed balcony,Available,Partial Renovation,,,,8+,Yes,No,By Agreement,By Agreement,"Մյասնիկյան փողոց 2-րդ նրբանցք 10, Ստեփանավան","10,000 ֏ daily",AMD,"The house is located near the forest. It is in normal condition, it is comfortable to enjoy your rest. For more information call.Translated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/17917948
Stone,No,Not available,5,,,30 sq.m.,1,1,from 2.8 m,1,Not available,,Cosmetic Renovation,,,,,,,,,"Квартал Санаин Сараарт 3/11, Алаверди","20,000 ֏ monthly",AMD,"Сдается квартира в городе Алаверди, есть все коммунальные удобство",Nov-24-2022_17-52,https://list.am/en/item/18371354
Stone,No,Not available,5,,,52 sq.m.,2,1,from 2.6 m,1,Not available,Available,Euro Renovation,,,,4,Yes,No,By Agreement,By Agreement,"Tigran Mets Avenue, Vanadzor","9,000 ֏ daily",AMD,"Օրավարձով բնակարան Վանաձորում։Մաքուր բնակարան բոլոր կոմունալ հարմարություններով տալիս եմ օրականով։ Գինը կախված օրերի քանակից։ Կա բաքսի համակարգ, լվացքի մեքենա, հեռուստացույց, ինտերնետ ։ Միշտ մաքուր անկողին և սրբիչներ ։ Գործակալություն չէ իմ բնակարանն է։Մենք ապահովում ենք կատարյալ մաքրությունԲնակարանում տրամադրում ենք բոլոր անհրաժեշտ պարագաները` Թեյնիկ, արդուկ, ֆեն, սպասքԼվացքի մեքենա, սառնարան,սպիտակեղեն, սրբիչներ, հողաթափերԿախված հյուրերի ու օրերի քանակից, գինը ենթակա է փոփոխմանApartments for daily rent in VanadzorOne two three room apartmentsWe provide perfect cleanlinessWe provide all the necessary accessories in the apartment: Kettle, iron, hair dryer, dishesWashing machine, refrigerator, air conditionerLinen, towels, slippersDepending on the number of guests and the number of days, the price is subject to changeКвартиры посуточно в ВанадзореКвартиры от 1 до 3 комнатОбеспечиваем безупречную чистотуПредоставляем все необходимые аксессуары в квартире: Чайник, утюг, фен, посуда.Стиральная машина, холодильник,Постельное белье, полотенца, тапочки",Nov-24-2022_17-52,https://list.am/en/item/17794321
Stone,No,Not available,5,,,64 sq.m.,2,1,from 2.75 m,3,Closed balcony,Available,Euro Renovation,,,,4,Yes,No,By Agreement,By Agreement,"Tigran Mets Avenue, Vanadzor","10,000 ֏ daily",AMD,"Օրավարձով բնակարան Վանաձորում։Մաքուր բնակարան բոլոր կոմունալ հարմարություններով տալիս եմ օրականով։ Գինը կախված օրերի քանակից։ Կա բաքսի համակարգ, լվացքի մեքենա, հեռուստացույց, ինտերնետ ։ Միշտ մաքուր անկողին և սրբիչներ ։ Գործակալություն չէ իմ բնակարանն է։Մենք ապահովում ենք կատարյալ մաքրությունԲնակարանում տրամադրում ենք բոլոր անհրաժեշտ պարագաները` Թեյնիկ, արդուկ, ֆեն, սպասքԼվացքի մեքենա, սառնարան,սպիտակեղեն, սրբիչներ, հողաթափերԿախված հյուրերի ու օրերի քանակից, գինը ենթակա է փոփոխմանApartments for daily rent in VanadzorOne two three room apartmentsWe provide perfect cleanlinessWe provide all the necessary accessories in the apartment: Kettle, iron, hair dryer, dishesWashing machine, refrigerator, air conditionerLinen, towels, slippersDepending on the number of guests and the number of days, the price is subject to changeКвартиры посуточно в ВанадзореКвартиры от 1 до 3 комнатОбеспечиваем безупречную чистотуПредоставляем все необходимые аксессуары в квартире: Чайник, утюг, фен, посуда.Стиральная машина, холодильник,Постельное белье, полотенца, тапочки",Nov-24-2022_17-52,https://list.am/en/item/17794308
Monolith,No,Not available,5,,,50 sq.m.,2,1,from 3 m,5,Closed balcony,Available,Euro Renovation,"TElevision, internet","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, iron, hair dryer","STreet view, city view",2,No,No,Not included,1 month,Lorri › Vanadzor,"130,000 ֏ monthly",AMD,"Сдаётся квартира всеми удобствами, с гостиничным проектом. Мебель и техника почти новое, кухонный сервиз и все не обходимое для жилья есть) только надо брать собой личные вещи) Минимум срок 3 месяца!",Nov-24-2022_17-52,https://list.am/en/item/18138849
Wooden,No,Not available,1,,,60 sq.m.,3,1,from 2.75 m,1,Not available,,Euro Renovation,,,,7,Yes,Yes,Not included,1 month,"Բաղրամյան փողոց 10, Ստեփանավան","4,000 ֏ daily",AMD,"In Stepanavan, a wooden cabin is available for daily rent or rent, with all utilities, TV, refrigerator, welding machine, parking space, barbecue. The cabin is close to the arboretum, alley, Lori fortress.Hurry up and take advantage of the pleasant and healthy natural phenomenon of pine pollination. CDTranslated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/18062612
Stone,No,Not available,6,,,90 sq.m.,4,2,from 2.7 m,4,Multiple balconies,Available,Major Renovation,,,,6,Yes,Yes,Not included,By Agreement,"Գրիգոր Նարեկացու փողոց 39, Վանաձոր","100,000 ֏ monthly",AMD,The house has all utilities and is provided long-termon rentTranslated from Armenian,Nov-24-2022_17-52,https://list.am/en/item/18339092
Stone,Yes,Not available,2,,,80 sq.m.,8+,3+,from 2.8 m,2,Multiple balconies,,Major Renovation,,,,,,,,,Lorri › Stepanavan,"15,000 ֏ daily",AMD,"Family recreation area HOTEL Sochi Resort Stepanavan for 4-6 people, swimming pool, pavilions, playground, restaurant... The hotel is designed for 30 people. Daily hotel # dendropark # hyuratun:Translated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/17133055
Stone,No,Not available,5,,,97 sq.m.,4,1,from 2.8 m,3,Not available,,Old Renovation,,,,5,Yes,No,Not included,2 months,"Լոռու խճուղի, Վանաձոր","250,000 ֏ monthly",AMD,A 4-room apartment is for rent in the center of Vanadzor cityTranslated from Armenian,Nov-24-2022_17-52,https://list.am/en/item/18185901
Panels,No,Available,9,,,58 sq.m.,1,1,from 2.7 m,2,Closed balcony,,Partial Renovation,,,,3,No,No,Not included,By Agreement,Lorri › Vanadzor,"7,000 ֏ daily",AMD,"Renovated partially furnished, gas, water, electricity, furniture of the old model. Near the cinema park. There is no KalonkaTranslated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/18292504
Panels,No,Not available,9,,,80 sq.m.,3,1,from 2.8 m,6,Closed balcony,Available,Cosmetic Renovation,,,,4,Yes,Yes,Not included,By Agreement,"Սանահին Սարահարթ թաղամաս 3/2, Ալավերդի","50,000 ֏ monthly",AMD,Сдаётся 3-х комнатная квартира в городе Алаверди - Санаин.Квартира в чистом состоянии.Есть все необходимые вещи для проживания.,Nov-24-2022_17-52,https://list.am/en/item/18367595
Stone,No,Not available,5,,,50 sq.m.,2,1,from 2.7 m,4,Closed balcony,Available,Euro Renovation,,,,4,Yes,No,By Agreement,By Agreement,"Tigran Mets Avenue, Vanadzor","9,000 ֏ daily",AMD,"Օրավարձով բնակարան Վանաձորում։Մաքուր բնակարան բոլոր կոմունալ հարմարություններով տալիս եմ օրականով։ Գինը կախված օրերի քանակից։ Կա բաքսի համակարգ, լվացքի մեքենա, հեռուստացույց, ինտերնետ ։ Միշտ մաքուր անկողին և սրբիչներ ։ Գործակալություն չէ իմ բնակարանն է։Մենք ապահովում ենք կատարյալ մաքրությունԲնակարանում տրամադրում ենք բոլոր անհրաժեշտ պարագաները` Թեյնիկ, արդուկ, ֆեն, սպասքԼվացքի մեքենա, սառնարան,սպիտակեղեն, սրբիչներ, հողաթափերԿախված հյուրերի ու օրերի քանակից, գինը ենթակա է փոփոխմանApartments for daily rent in VanadzorOne two three room apartmentsWe provide perfect cleanlinessWe provide all the necessary accessories in the apartment: Kettle, iron, hair dryer, dishesWashing machine, refrigerator, air conditionerLinen, towels, slippersDepending on the number of guests and the number of days, the price is subject to changeКвартиры посуточно в ВанадзореКвартиры от 1 до 3 комнатОбеспечиваем безупречную чистотуПредоставляем все необходимые аксессуары в квартире: Чайник, утюг, фен, посуда.Стиральная машина, холодильник,Постельное белье, полотенца, тапочки",Nov-24-2022_17-52,https://list.am/en/item/17787776
Stone,No,Not available,5,PLayground,OUtdoor parking,54 sq.m.,2,1,from 2.75 m,3,Not available,Available,Euro Renovation,"TElevision, internet, parking space","FRidge, stove, microwave, coffee maker, washing machine, drying machine, water heater, iron, hair dryer","YArd view, park view",4,Yes,No,By Agreement,By Agreement,"Vardanants Street, Vanadzor","9,000 ֏ daily",AMD,"։Օրավարձով բնակարան Վանաձորում։Մաքուր բնակարան բոլոր կոմունալ հարմարություններով տալիս եմ օրականով։ Գինը կախված օրերի քանակից։ Կա բաքսի համակարգ, լվացքի մեքենա, հեռուստացույց, ինտերնետ ։ Միշտ մաքուր անկողին և սրբիչներ ։ Գործակալություն չէ իմ բնակարանն է։Մենք ապահովում ենք կատարյալ մաքրությունԲնակարանում տրամադրում ենք բոլոր անհրաժեշտ պարագաները` Թեյնիկ, արդուկ, ֆեն, սպասքԼվացքի մեքենա, սառնարան,սպիտակեղեն, սրբիչներ, հողաթափերԿախված հյուրերի ու օրերի քանակից, գինը ենթակա է փոփոխմանApartments for daily rent in VanadzorOne two three room apartmentsWe provide perfect cleanlinessWe provide all the necessary accessories in the apartment: Kettle, iron, hair dryer, dishesWashing machine, refrigerator, air conditionerLinen, towels, slippersDepending on the number of guests and the number of days, the price is subject to changeКвартиры посуточно в ВанадзореКвартиры от 1 до 3 комнатОбеспечиваем безупречную чистотуПредоставляем все необходимые аксессуары в квартире: Чайник, утюг, фен, посуда.Стиральная машина, холодильник,Постельное белье, полотенца, тапочки",Nov-24-2022_17-52,https://list.am/en/item/17788038
Stone,No,Not available,5,,,55 sq.m.,3,1,from 3 m,4,Open balcony,,Euro Renovation,,,,,,,,,Lorri › Alaverdi,"5,000 ֏ daily",AMD,"3-room renovated apartment is for daily rent, located on the 3rd floor of a 5-storey building. It is provided with round-the-clock gas supply, as well as furniture and equipment. There is a free space for parking cars in the yard. All the necessary shops, places of rest and entertainment are nearby. Guests can also use WI-FI. 1 person 5000Translated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/17810660
Stone,No,Not available,5,,,42 sq.m.,2,1,from 2.7 m,5,Closed balcony,Available,Partial Renovation,,,,3,Yes,No,Not included,1 month,Lorri › Vanadzor,"90,000 ֏ monthly",AMD,"The apartment is located in the center of the city, it is sunny, it has a large kitchen.Translated from Armenian",Nov-24-2022_17-52,https://list.am/en/item/18065610
