Elevator,Floors in the Building,Room Area,Renovation,Balcony,Floor,Number of Guests,Children Are Welcome,Pets Allowed,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Type,Amenities,Appliances,Floor Area,Furniture,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Parking,Links
Available,9.0,10 sq.m.,Euro Renovation,Closed balcony,6.0,1,No,No,By Agreement,Included,"Gyulbenkyan street 1, Yerevan","7,000 ֏ daily",AMD,"~ Комната №3 - (10 кв. М) ~Меня зовут Нара. С радостью предложу Вам пожить в 8-и мин до центра Еревана.~ Наш календарь ~Ноябрь - свободные даты - нетуДекабрь - свободные даты - нетуЯнварь - свободные даты - 10-31Февраль - свободные даты - 1-28Март - свободные даты - 1-31Апрель - свободные даты - 1-30– Мы предлагаем уютную, светлую комнату в 8-и мин. До центра Еревана.Интернет 150 Мбит/с, чистая и полностью оборудованная кухня.Мы также предоставляем все необходимое для приготовления пищи (сахар, соль, масло, перец и т. Д.) в начале вашего пребывания, чтобы вам не пришлось беспокоиться об этих предметах первой необходимости при заселении.Хочу ещё раз обратить ваше внимание, что Вы бронируете только (1) одну комнату. В данной квартире есть ещё 3 комнаты. Все комнаты имеют отдельные замки и ключи. Ванная, туалет также закрываются изнутри. У вас могут быть соседи в соседних комнатах вместе с которыми вы будете использовать кухню, балкон, туалет и ванну. Я живу в том же здании но на другом этаже. Я всегда на связи и в основном бываю у себя дома. У нас гости пока что все довольны, друг другу не мешают. Квартира очень чистая. Так же на профиле вы можете прочитать отзывы от предыдущих гостей, увидите что все они были довольны.Если будут вопросы дайте знать с радостью отвечу.~ Правила дома ~• В квартире/комнате у нас курить строго запрещено. За курение в квартире взимается ШТРАФ 5.500 рублей ($50) Курить можно ТОЛЬКО НА БАЛКОНЕ снаружи. - Квартира не предоставляется для проведения каких-либо мероприятий или вечеринок, а также громкого прослушивания музыки и другого шума, особенно с 22:00 до 10:00. Просьба с уважением отнестись к соседям.• Стандартное время заезда — с 13:00, время выезда — до 10:00. Но мы стараемся гибко подстраиваться к пожеланиям наших гостей.• Пожалуйста, относитесь бережно к мебели, бытовой технике и другому имуществу в квартире.~ Важная информация ~Квартира находится на 6-ом этаже. Есть лифт, лестничные пролеты широкие. Если Вы прилетите рано утром то можете оставить свой багаж у нас до времени заезда в 13:00. Если предварительных бронирований нет от других гостей, Вы можете заселится раньше чем 13:00 заранее обговорить этот вопрос.У нас более 350 положительных отзывов от наших гостей, и вы также можете прочитать о них на Airbnb)Если будут вопросы дайте знать с радостью отвечу.Нара",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18012061
Available,9.0,16 sq.m.,Cosmetic Renovation,Closed balcony,9.0,2,No,No,6 months,By Agreement,"Karakhanyan street, Yerevan","80,000 ֏ monthly",AMD,1 room of a 4-room apartment with all its facilities is for rent. It is given only for student girls to live together with me.Translated from Armenian,Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18214858
Not available,1.0,30 sq.m.,Euro Renovation,Not available,1.0,4,Yes,No,Without prepayment,Not included,"Ohanov street, Yerevan","180,000 ֏ monthly",AMD,"It is for rent, suitable for students. Has a bathroom, a toilet. For more information call. Vin is final. From the 10th of KAZATEI MONTHTranslated from Armenian",Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/18358847
Not available,3.0,20 sq.m.,Cosmetic Renovation,Open balcony,3.0,,,,,,"Sarmen street 68, Yerevan","2,500 ֏ daily",AMD,"В общежитии сдаются комнаты для совместного проживания. В номерах есть двухъярусные кроватиДоступно ежедневно иДолгосрочный.Wi-Fi.На каждом этаже есть ванная и туалетУ нас есть кухняЗвоните, чтобы узнать подробностиՀոսթել հյուրանոցում վարձով են տրվում սենյակներ համատեղ բնակվելու համար։ սենյակներում տեղադրված են երկհարկանի մահճակալներՏրվում է Օրավարձով ևԵրկարաժամկետ։Wifi.Յուրաքանչյուր հարկում կա լոգարան եվ զուգարանՈւնենք խոհանոցՄանրամասների համար զանգահարRooms are for rent in Hostel Hotel.Daily rentDiscounts will apply in case of long-term residenceIt is also given for a long termToilet and toilet on each floorWe have a kitchenCall for details",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17897225
Available,9.0,35 sq.m.,Partial Renovation,Closed balcony,8.0,1,No,Yes,Without prepayment,Not included,"Raffi street, Yerevan","50,000 ֏ monthly",AMD,"APARTMENT FOR RENT WITH COMMUNITY, the apartment is equipped with all utilities,washing machinerefrigeratorgashot waterWIFI:In the room: Beds, wardrobe, table...The residents are boys.You pay from the start.NOT GIVEN TO FAMILY, WOMEN, GIRLSTranslated from Armenian",Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/14832257
Available,9.0,20 sq.m.,Euro Renovation,Closed balcony,2.0,,,,,,"David Anhaght street, Yerevan","50,000 ֏ monthly",AMD,"Davit Anhaght St. 18, in front of Zeytun Fountains.Available for girls or women only.The apartment is renovated, has baxi system, hot / cold water,It will be rented on the condition of living together with the hostess.If you have any questions, call the landline number or the mobile number of the same number, code 99.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/14736448
Not available,2.0,15 sq.m.,Euro Renovation,Not available,2.0,,,,,,Yerevan › Ajapnyak,"20,000 ֏ daily",AMD,Здаеться посуточно комната двух этажном частном доме в хорошем районе Еревана сутки 20000драм,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18355772
Available,4.0,30 sq.m.,Designer Renovation,Open balcony,2.0,,,,,,Yerevan › Nor Nork,"15,000 ֏ daily",AMD,"Comfortable rooms in the hotel are available for daily rent.The rooms are equipped with all the necessary amenities. With a hub and corresponding toiletries, hot and cold water, smart TV, free Wi-Fi internet.There is free parking on the premises.There is a restaurant inside the hotel.MegaMAll is approximately 1 km away.There are more than 1 markets and a supermarket at a distance of 200-300m.The fee also includes utility costs.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18241535
Not available,5.0,18 sq.m.,Old Renovation,Not available,1.0,,,,,,"Komitas ave, Yerevan","40,000 ֏ monthly",AMD,"I am an adult woman living alone, I am looking for a 25-35 year old female who lives for rent.I offer to live with me for free / expecting help in daily care.I have a 1-room apartment in KomitasTranslated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/13296401
Not available,3.0,15 sq.m.,Designer Renovation,Not available,3.0,,,,,,Yerevan › Nork-Marash,"25,000 ֏ daily",AMD,"Rooms for rent with very comfortable and beautiful design. All rooms have a bathroom. You went to the dining hall. The price includes breakfast for two people. Free swimming pool. The price starts at 25,000-30,000.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17614149
Not available,2.0,25 sq.m.,Cosmetic Renovation,Open balcony,1.0,,,,,,"Նուբարաշենի 9-րդ փողոց 22, Երևան","30,000 ֏ monthly",AMD,"Private house, there is a separate, communal utilityTranslated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17519981
Available,9.0,20 sq.m.,Major Renovation,Open balcony,7.0,2,Yes,No,Without prepayment,Not included,"4-я улица Давташена 22, Ереван","450,000 ֏ monthly",AMD,"An apartment is for rent in Davitashen community, on the 7th floor of a multi-storey building.Translated from Armenian",Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/17490488
Not available,1.0,25 sq.m.,Euro Renovation,Not available,1.0,4,Yes,Yes,By Agreement,Not included,Yerevan › Kentron,"350,000 ֏ daily",AMD,Выдаётся на аренду 1 комнатная квартира в центре Еревана. Ежемесячно 300.000 драм. Есть Wi-Fi. Есть все коммунальные условия. Есть Бакси. Площадь комнаты 30кв. М.1-room apartment for rent in the center of Yerevan. Monthly 320.000 AMD. There is Wi-Fi. There are all utilities. There is Bucky. The area of the room is 30 sq. M.,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18012370
Not available,2.0,25 sq.m.,Major Renovation,Not available,2.0,3,Yes,No,1 month,Not included,"Ohanov street, Yerevan","15,000 ֏ daily",AMD,"Malata Sebastia, Ohanov streetHotel rooms for rentwith all amenitiesThe daily fee is 15,000 dramsThe monthly fee is 300,000 dramsCode VM821Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17574311
Not available,2.0,10 sq.m.,Cosmetic Renovation,Not available,1.0,2,Yes,No,Without prepayment,Included,Yerevan › Kentron,"7,000 ֏ daily",AMD,The rooms are equipped with utilities and have WIFITranslated from Armenian,Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18280242
Not available,2.0,30 sq.m.,Cosmetic Renovation,Not available,1.0,3,Yes,No,Without prepayment,Included,Yerevan › Kentron,"10,000 ֏ daily",AMD,Rooms for daily rent near Kilikia bus station.Suitable for families.Has all utilitiesTranslated from Armenian,Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18280239
Not available,2.0,30 sq.m.,Cosmetic Renovation,Open balcony,2.0,1,No,No,Without prepayment,Not included,"Улица Тычины 1/1, Ереван","120,000 ֏ monthly",AMD,Сдаются комнаты для совместного проживания,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17506770
Available,9.0,50 sq.m.,Cosmetic Renovation,Closed balcony,9.0,1,No,No,By Agreement,Not included,"Arno Babajanian street, Yerevan","50,000 ֏ monthly",AMD,"To live together, we are looking for our third half)))) girl (woman), Be sure to be clean, The apartment is located in Bangladesh, 2 rooms, 50.000 per personTranslated from Armenian",Nov-25-2022_00-26,Apartment,,,,,,,,,OUtdoor parking,https://list.am/en/item/18348500
Not available,1.0,12 sq.m.,Cosmetic Renovation,Not available,1.0,2,Yes,No,Without prepayment,Included,"Ծովակալ Իսակովի պողոտա 4/7, Երևան","7,000 ֏ daily",AMD,"In the immediate vicinity of Kilikia Bus Station, comfortable rooms are provided for daily rent with comfortable beds, bathroom, 84 channels of cable TV, free internet and parking.The day counts from 14:00ATTENTION! NO KITCHEN, WASHING MACHINE AND IRON ACCESSORIESTranslated from Armenian",Nov-25-2022_00-26,Guesthouse,,,,,,,,,,https://list.am/en/item/16287167
Not available,10.0,25 sq.m.,Euro Renovation,Not available,1.0,4,Yes,Yes,Without prepayment,Included,"Republic Square, Yerevan","15,000 ֏ daily",AMD,"Здравствуйте, приглашаю в свой уютный и гостеприимный Хостел в Ереване, в самом центре города, рядом с площадью республики оплату могу принимать переводом на карты РФ Сбербанка и Тинькофф цены от 800 рублей, есть общие, 4-х местные, 2- местные, и семейный номер.",Nov-25-2022_00-26,Hostel,,,,,,,,,,https://list.am/en/item/17606687
Not available,2.0,32 sq.m.,Cosmetic Renovation,Not available,1.0,2,Yes,No,Without prepayment,Not included,Yerevan › Avan,"110,000 ֏ monthly",AMD,"* Сдается комната для девочек-женщин, семейных пар, или одного парня (для спокойных, адекватных людей)В другом комнате живут спокойная молодая пара (туристы)1 этаж (кухня, туалет-душевая, свой маленький дворик) есть все условия для проживаниякабельный интернет Wi FiМожно снимать на короткий и длительный срок.От центра 8-10 мин. Ереван район Аван, рядом Ботанический сад,Акватек, парк, магазины, очень близко район Нор Норк пешком 10 мин,рынок, ТЦ Мега Мол и тд.По всем вопросам позвонить по номеру",Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/17719636
Not available,1.0,32 sq.m.,Major Renovation,Open balcony,1.0,2,Yes,No,By Agreement,Included,"Ռուսթավելի փողոց 45, Երևան","20,000 ֏ daily",AMD,"Rooms for rent near Dvin Hotel at Rustaveli Street 45.1 room: 32 square meters2 rooms: 20 square meters3 rooms - 22 square metersAll rooms have kitchen and bathroom.Thoroughly reconstructed:It has all facilities: Hot and cold water, air conditioner, internet, cable TV channels. Available both daily and long term.For more information call:Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18158051
Available,14.0,25 sq.m.,Cosmetic Renovation,Open balcony,14.0,,,,,,"Պարոնյանի փողոց, Երևան","55,000 ֏ monthly",AMD,"The apartment is located in the Center, it is sharedIt is in very clean and cosmetically renovated condition, all amenities are present.1 girl is needed for joint residenceTranslated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18245127
Available,15.0,40 sq.m.,Designer Renovation,Open balcony,9.0,2,Yes,No,By Agreement,Included,"Argishti street 1, Yerevan","25,000 ֏ daily",AMD,"Сдается на аренду однокомнатную квартиру посуточно без посредников, квартира новостройка и находится в самом сентре Еревана, Можете связатся по вотсапу, телеграму @lilith0070, whatsapՕրավարձով բն. Գլենդել հիլզ թաղամասում/Արգիշտի/, Նորակառույց շենքի 9րդ հարկում, ունի նաև բաց պատժգամբ, Տրվում է գույքով տեխնիկայով, սպասքով, ԱՌԱՆՑ ՄԻՋՆՈՐԴԻ, կահավորված է հատուկ դիզայներական ոճով:",Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/17326836
Not available,2.0,16 sq.m.,Old Renovation,Open balcony,2.0,2,No,No,2 weeks,Not included,"Kristapor street 34, Yerevan","150,000 ֏ monthly",AMD,"Վարձով է տրվում սենյակ սեփական տան 2-րդ հարկում, հարմար 1 կամ երկու ուսանողի կամ աշխատող մարդկանց համար։ Կան անհրաժեշտ բոլոր պամանները ապրելու համար՝ բաղնիք, զուգարան, լվացքի մեքենա, կոմունալները ընդհանուր են։ Մանրամասների համար զանգահարել նշված համարով։Сдается в аренду комната на 2-м этаже собственного дома, подходит для 1-2 студентов или трудящихся. Есть все необходимые условия для проживания: Санузел, стиральная машина, wifi, коммунальные условия общие. Для деталей звоните по указанному номеру.For rent a room on the 2nd floor of own house, suitable for 1-2 students or workers. There are all necessary conditions for living: Bathroom, washing machine, wi-fi, communal conditions are common. For details, call the specified number.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18292951
Not available,2.0,42 sq.m.,Cosmetic Renovation,Not available,1.0,3,No,No,2 weeks,Not included,"Kristapor street, Yerevan","12,000 ֏ daily",AMD,"Վարձով է տրվում սենյակ սեփական տան 1-ին հարկում։ Կան անհրաժեշտ բոլոր պամանները՝ բաղնիք, զուգարան, լվացքի մեքենա, wifi, կոմունալները ընդհանուր են։ Մանրամասների համար զանգահարել նշված համարով։Сдается в аренду комната на первом этаже двухэтажного особняка. Есть все необходимое для проживания, wifi, комунальные услуги общие. За подробностями звонить по указанному номеру.For rent a room on the first floor of a two-storey mansion. There is everything you need for living, wi-fi, communal services are shared. For details, call the specified number.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18315856
Not available,5.0,20 sq.m.,Major Renovation,Closed balcony,1.0,,,,,,"Mesrop Mashtots Avenue, Yerevan","8,500 ֏ daily",AMD,"In the center, well-furnished classrooms are available for rent by the hour. Suitable for various types of courses.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18326079
Not available,1.0,20 sq.m.,Cosmetic Renovation,Not available,1.0,,,,,,"Hovhannisyan street, Yerevan","60,000 ֏ monthly",AMD,1 room of a student girl or woman's own house is for joint rent.The mansion is located in Charbakh.Translated from Armenian,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18080420
Not available,2.0,7 sq.m.,Major Renovation,Not available,2.0,1,No,No,By Agreement,Included,"Charents street, Yerevan","70,000 ֏ monthly",AMD,"2-storey hostel, with all the necessary conditions, internet WiFi, heating, hot and cold water, spacious kitchen, bathroom, tile-metlak, there is a bed for 4 people, 80,000 drams per person for 1 month, and 220,000 drams for renting one room as a whole, all utilities with costs, utility costs are included in the rent, regardless of the number of people.Code 001001Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/15292243
Not available,3.0,18 sq.m.,Euro Renovation,Not available,2.0,8+,Yes,Yes,By Agreement,By Agreement,"Qeri street, Yerevan","10,000 ֏ daily",AMD,"Сдаются комнаты в гостевом доме. Чисто, тихо, уютно. Можно с завтраком, за дополнительную плату. Действуют скидки при заезде дольше, чем на 7 дней.",Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18276928
Not available,2.0,24 sq.m.,Cosmetic Renovation,Open balcony,2.0,2,No,No,Without prepayment,Not included,"Marshal Khudyakov street 5th lane, Yerevan","30,000 ֏ monthly",AMD,"Сдаются комнаты. Оплата 30000 драм в месяц для одного человека, плюс коммунальные платежи от пяти до десяти тысяч. В зависимости от времени года. В доме по отдельности в разных комнатах уже живут четыре девушки. 26 го освободиться одна комната на одного человека. Желающим заранее забронировать. На данный момент в наличие две большие комнаты в которых должны будут жить двое знакомых. Желательно отдавать их сразу двум знакомым друг другу людям. Есть все условия. Мебель, бытовая техника, холодильники и стиральные машины. В наличие удобный и надежный двор для стоянки автомобилей и техники. C любыми вопросами звоните в любое время.! ...Translated from Armenian",Nov-25-2022_00-26,Private House,,"FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer",,,,,,,,https://list.am/en/item/18288880
Not available,2.0,30 sq.m.,Cosmetic Renovation,Open balcony,2.0,1,No,No,Without prepayment,Not included,"Улица Тычины 1/1, Ереван","120,000 ֏ monthly",AMD,Сдаются комнаты с совместным проживанием.,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17485625
Not available,4.0,20 sq.m.,Cosmetic Renovation,Open balcony,4.0,8+,Yes,Yes,Without prepayment,Included,"Mesrop Mashtots Avenue 38, Yerevan","4,000 ֏ daily",AMD,"Хостел койка в общей комнате цена 4000 драм за сутки, отдельная комната на двоих человек 12000драм за сутки",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18235400
Not available,1.0,40 sq.m.,Euro Renovation,Not available,1.0,1,No,No,By Agreement,By Agreement,Yerevan › Kentron,"50,000 ֏ monthly",AMD,Здаёться совместной проживание только девушкам всё удобство есть близко сасунци давид вкзалу բնակարանում կա բոլոր հարմարություններ մի աղջիկա բնակվում,Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18109037
Not available,3.0,30 sq.m.,Major Renovation,Not available,1.0,,,,,,Yerevan › Malatia-Sebastia,"100,000 ֏ monthly",AMD,"It is located on Sebastia street (first line) It is the basement floor of the gas station. Suitable for selling car spare parts, car accessories.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17985323
Not available,2.0,15 sq.m.,Euro Renovation,Open balcony,2.0,,,,,,"Զավարյան փողոց 163, Երևան","15,000 ֏ daily",AMD,Բոլոր անհրաժեշտ պայմաններով հագեցած սենյակTranslated from Armenian,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/16427280
Available,9.0,18 sq.m.,Euro Renovation,Closed balcony,8.0,2,No,No,By Agreement,Not included,"Verin Shengavit 2nd street, Yerevan","80,000 ֏ monthly",AMD,Without an intermediary.The building is located in Kinohayrenik.It is rented jointly.Only 1 girl.Thoroughly reconstructed.Separate bedroom.Closed shoelace.The utility is divided into two partsTranslated from Armenian,Nov-25-2022_00-26,Apartment,"TElevision, internet","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron",,,,,,,,https://list.am/en/item/14862122
Not available,2.0,20 sq.m.,Euro Renovation,Open balcony,2.0,,,,,,"Զավարյան փողոց 163, Երևան","15,000 ֏ daily",AMD,"Beautiful room with all conditionsFor rent 200,000 AMD per month (including utilities)Call 10: 00-22: 30Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/16427363
Not available,1.0,12 sq.m.,Cosmetic Renovation,Not available,1.0,2,Yes,Yes,By Agreement,Included,"Ծովակալ Իսակովի պողոտա 4/7, Երևան","6,000 ֏ daily",AMD,"In the immediate vicinity of Kilikia Bus Station, comfortable rooms are provided for daily rent with comfortable beds, bathroom, 84 channels of cable TV, free internet and parking.The day is calculated from 14:00ATTENTION! NO KITCHEN, WASHING MACHINE AND IRON ACCESSORIESTranslated from Armenian",Nov-25-2022_00-26,Guesthouse,,,,,,,,,,https://list.am/en/item/16309468
Not available,3.0,20 sq.m.,Cosmetic Renovation,Not available,2.0,2,Yes,No,Without prepayment,Included,"Nar-Dos street 69, Yerevan","9,000 ֏ daily",AMD,"Незапланированно освободилась одна двухместная комната (первое фото в объявлении) в хостеле по адресу г. Ереван, ул. Нар-Дос 69/1.Цена за комнату - 9.000AMD/сутки.При заселении на долгий срок можем сделать скидку (до 200.000AMD/месяц)Пожалуйста, звоните по указанному в объявлении номеру телефона (уведомления о полученных здесь сообщениях не приходят вообще, или приходят через несколько дней)",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18279926
Not available,2.0,13 sq.m.,Major Renovation,Not available,2.0,,,,,,"Margarian street, Yerevan","90,000 ֏ monthly",AMD,The rooms are fully furnished and have a separate bathroom.Call after 11:00 am.Translated from Armenian,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/16750507
Available,16.0,16 sq.m.,Partial Renovation,Open balcony,5.0,8+,Yes,No,Without prepayment,By Agreement,"Lvovyan street 2, Yerevan","110,000 ֏ monthly",AMD,Room for rent 18 square metersTranslated from Armenian,Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/18311349
Not available,2.0,50 sq.m.,Cosmetic Renovation,Open balcony,2.0,3,No,No,2 months,Not included,Yerevan › Nubarashen,"160,000 ֏ monthly",AMD,"The second floor of a private house is for rent: Spacious 3 rooms, kitchen, separate bathroom and balcony.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18255704
Not available,4.0,25 sq.m.,Major Renovation,Open balcony,2.0,,,,,,"Զավարյան փողոց 171, Երևան",$500 monthly,USD,"В центре города Еревана сдаётся в аренду гостиничные номера, со всеми удобствами, коммунальные входит в стоимость номера.",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17181208
Not available,3.0,25 sq.m.,Euro Renovation,Open balcony,2.0,,,,,,"Yervand Kochar street, Yerevan","20,000 ֏ daily",AMD,"Гостевой дом ""ЕРЕВАН"" находиться в самом центре Еревана. Гостям предоставляется пять просторных номеров, в каждом номере имеется своя ванная комната и туалет, кондиционер и телевизор с спутниковыми каналами. Гостевой дом состоит из трёх этажей. На первом этаже располагается рабочий стол с компьютером а также комнаты где живет хозяин дома. Второй и третий этаж используются   под гостевой дом. На втором этаже располагается три номера и гостиная. Гостиная оборудованная роскошной мягкой мебелью, журнальным столиком и креслами, телевизором и балконом. На третьем этаже располагается два номера и   гостиная также оборудованная роскошной мягкой мебелью, журнальным столиком, большим холодильником. На третьем этаже располагается большая закрытая веранда с большим камином и обеденной зоной также имеется кондиционер. Гостям предоставляется гладильная доска, утюг, сушилки для белья и полотенец а также фен.УКАЗАЗАННАЯ ЦЕНА 20.000 ЦЕНА НОМЕРА!",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17743521
,,,,,,,,,,,"Mayisi 9 street, Yerevan","35,000 ֏ monthly",AMD,5-room apartment for rent for girls only. Each room for 2 people.Translated from Armenian,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18159275
Not available,2.0,30 sq.m.,Euro Renovation,Not available,2.0,,,,,,Yerevan › Kentron,"15,000 ֏ daily",AMD,"Գտնվում է քաղաքի կենտրոնում ՝ Չարենց փողոցի վրա:Ունի բոլոր հարմարությունները և եվրոնորոգված է:Сдаются посуточные комнаты в центре Еревана, в 10-15 ходьбы от Северного Проспекта.",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17917143
Not available,1.0,16 sq.m.,Major Renovation,Open balcony,1.0,2,No,No,1 month,Not included,"Tsarav Aghbyuri Street 90, Yerevan","30,000 ֏ monthly",AMD,"A room for rent in the center of the village is available for shared residence. A woman is required. The rent is AMD 30,000 including utilities and internet.Translated from Armenian",Nov-25-2022_00-26,Private House,,,,,,,,,,https://list.am/en/item/18282835
Not available,4.0,25 sq.m.,Major Renovation,Open balcony,3.0,2,Yes,No,By Agreement,Included,"Mkhitar Heratsi Street 16, Yerevan","10,000 ֏ daily",AMD,Сдается в аренду одна комната в частной квартире в центре города посуточно. Стоимость 9000 драм. 25 квд парад с балконом.,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/18176347
Available,15.0,40 sq.m.,Euro Renovation,Closed balcony,14.0,1,No,No,1 month,By Agreement,"Argishti street, Երևան","175,000 ֏ monthly",AMD,"Сдаётся в аренду одна комната в многоэтажном доме со всеми удобствами в Центре города, Районе Глендел Хиллз. Просьба посредникам не беспокоить. Кухня и туалет ванная общие, но изолированные. Есть большой балкон с красивым видом. В день 29$, можно и надолго, в месяц 160000 Драм. Подойдет двум, трем студенкам, либо одной паре, либо одному человеку женского пола. С конца февраля. Просьба писать в личку, для обмена контактными данными. Напишите пожалуйста ваш телефон и мы перезвоним.Комната свободна с 1-го марта.Минимальный срок - 3 месяца.Депозит 1 месяцВ 5-ти минутах от площади республики. Центр города. Рядом фонтаны. В 30 метрах шашлычница и Арт Ланч () Супермаркет Карфур. #hotel #nearOperaПодойдёт одной, двум девушкам, Либо одной паре. Не более!",Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/18110240
Available,15.0,40 sq.m.,Euro Renovation,Closed balcony,14.0,1,No,No,1 month,Not included,"Argishti street, Երևան","180,000 ֏ monthly",AMD,"Сдается одна комната в квартире со всеми удобствами, с большой отдельной кухней, общей ванной туалетом. Балкон большой, отдельный. Есть утюг, стиральная машинка, пылесос, постельное белье, полотенца, компьютер и интернет, газовая плита, телевизор.Звоните на номерИли пишите сообщениеМожете оставить также телефон для связи. Без посредников.Это кватрира в центре города, около муниципалитета Еревана. Есть все удобства, интернет, комната уже с кухней, и она в вашем распоряжении. Единственным жильцом будет хозяйка квартиры, но она не будет пользоваться кухней, только раз в неделю стиральной машиной. Общая только ванная и туалет.Комната свободна с 1-го марта!ВНИМАНИЕ! Арендаторы будут жить с хозяйкой дома, поэтому ей подходят только женщина / женщины или одна пара. ПОДОЙДЁТ ТОЛЬКО ОДНОЙ / ДВУМ ДЕВУШКАМ, И / ИЛИ ОДНОЙ ПАРЕ (МУЖ И ЖЕНА)Минимальный срок 1 месяц.",Nov-25-2022_00-26,Apartment,,,,,,,,,,https://list.am/en/item/18116425
Not available,1.0,20 sq.m.,Major Renovation,Open balcony,1.0,,,,,,"Teryan street, Yerevan","4,000 ֏ daily",AMD,Hotel Hyuranoc Senyak HostelՀոտել Հյուրանոց Հոստել Սենյակ #hostel #hotel #nearOpera,Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/16563329
Not available,1.0,16 sq.m.,Euro Renovation,Open balcony,1.0,2,No,No,1 month,Included,"Շարա Տալյան փողոց, Երևան","400,000 ֏ daily",AMD,"I am renting a room in a guest house, which is located on the former Aygestan 6th street. The room has its own bathroom. In the courtyard there is a small summer kitchen equipped with a washing machine, electric stove, microwave oven, refrigerator, pots and dishes. The price for one month is indicated.Translated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17534056
Not available,1.0,21 sq.m.,Euro Renovation,Open balcony,1.0,2,No,No,1 month,Included,"Շարա Տալյան փողոց, Երևան","600,000 ֏ daily",AMD,"I rent a room in a guest house. The room has its own bathroom. In the yard there is a small summer kitchen with an electric stove, microwave, refrigerator, pots and dishes. The monthly price is indicatedTranslated from Armenian",Nov-25-2022_00-26,,,,,,,,,,,https://list.am/en/item/17534049
Not available,1.0,12 sq.m.,Designer Renovation,Not available,1.0,1,No,No,1 month,Not included,"Garegin Nzhdeh Street, Yerevan","70,000 ֏ monthly",AMD,"1 room space for rent for use as a sewing workshop, it is also suitable for other production space, office, has a san hubTranslated from Armenian",Nov-25-2022_00-27,,,,,,,,,,,https://list.am/en/item/17788048
