Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Furniture,Window Views,Appliances,Links
Stone,Yes,Not available,4,41 sq.m.,1,1,from 3 m,4,Open balcony,Old Renovation,"Սայաթ-Նովա փողոց 9, Գյումրի","24,290,000 ֏",AMD,"Please read carefully - One-room sunny apartment for sale by the owner on Sayat-Nova street-9/9a building-4th floor. The building is in the heart of the city - in the center, in the facade of the theater. The building is a unique new construction in the city center. The total area is 40.5 square meters. The position is sunny. The apartment is in habitable condition, with European windows, with normal household facilities (gas, water, bathroom) It has a large sunny balcony with a tin roof. Can be trimmed. It will be converted into a two-room apartment at low cost. In the back I can give a spacious large closet with an additional, large iron door. The price is 24 million 290 thousand drams. I should add that the apartment prices in all famous 70-80-year-old dilapidated buildings in the city center are double or more expensive. Will negotiate to buyer.I also sell.2. Own house on Koshtoyan Street, near the maternity hospital, 300 square meters, the living room is about 120 square meters /5 rooms/. With yard, trees. With a gate-garage. It is in normal habitable condition with a brand new heating system, the newly purchased Ariston has not been installed yet, it works with Baxi. Interior finishing works can be done on request. The house was fully built, renovated from the ground up in 1994, the documents are available. The sewage and water supply system has also been completely changed. It has a capacious-absolutely dry basement. The entire roof is 07mm zinc sheet. The price is $72,500. Will be negotiated.3. Karashen garage on Hovsepyan Street, with a full basement. Close to Charles Aznavour Square. Currently priced at $1,850 for a quick sale. Bargaining possible.Translated from Armenian",Nov-25-2022_14-08,,,Not available,,,https://list.am/en/item/17914213
Stone,No,Not available,3,75 sq.m.,3,1,from 2.75 m,3,Open balcony,Old Renovation,"Խաչատուր Աբովյանի փողոց 1/1, Արթիկ","$14,000",USD,"Apartment in Sasuntsi Davit, gas, electricity, water, everything is available, call for detailsTranslated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/17574802
Stone,No,Not available,3,87 sq.m.,3,1,from 3 m,3,Open balcony,Euro Renovation,"Շիրակացի փողոց 61/2Ա, Գյումրի","$80,000",USD,"A spacious, bright, warm apartment is for sale in Gyumri, on the third floor of a three-story building. The apartment is in excellent condition, has three rooms, faces east and west, has two open balconies, individual heating system, constant hot and cold water, iron door. Is, the windows are euro, the windowsills are made of natural stone, the floor is tiled and the bedrooms are laminated. It also has an individual water pump. The roof is completely renovated, there is also a space for a garage in the yard. It is located near the Dwin restaurant. It is sold together with the property.Code 1515Translated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/18305562
Monolith,No,Not available,4,76 sq.m.,3,1,from 2.8 m,1,Not available,Cosmetic Renovation,"13th street, Gyumri","$38,000",USD,"A three room apartment is for sale in 58 Ani district, 13 street, 2nd building (next to the 11th school)The apartment is in good condition, you can separate the entrance.Translated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/17022347
Monolith,No,Not available,5,100 sq.m.,4,1,from 2.7 m,4,Not available,Designer Renovation,Shirak › Gyumri,"$50,000",USD,4-room renovated apartment in Ani district.Translated from Armenian,Nov-25-2022_14-08,,,,,,https://list.am/en/item/13975755
Stone,No,Not available,2,110 sq.m.,5,2,from 3.5 m,1,Open balcony,Cosmetic Renovation,Shirak › Gyumri,"18,600,000 ֏",AMD,"Gorku 101, near the station, is also suitable for other activities.Translated from Armenian",Nov-25-2022_14-08,,,Not available,,,https://list.am/en/item/17637147
Stone,No,Not available,5,63 sq.m.,3,1,from 2.8 m,3,Not available,Old Renovation,"Գարեգին Նժդեհի հրապարակ 2Ա, Գյումրի","$30,000",USD,"For sale is a 3-room apartment on the 3rd floor of a 5-story building and a 2-story detached garage near Garegin Nzhdehi Square.The apartment has a bathroom. Storage iron door, total area 63 sq. M. Has telephone and Ucom, Rostelecom internet lines.The garage is located in front of the building, it has two floors, it has a basement, a balcony, iron bars, the entrance door is heat-resistant (made of copper plate), the total area is 47 m. K.There is a playground, a shopping center, a school and a kindergarten near the apartment.The distance from the center is 1.4 km (8 minutes by foot to the center)The total price of the apartment and the garage is AMD 13,000,000.Translated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/18358349
Stone,No,Not available,3,68 sq.m.,3,1,from 2.75 m,1,Not available,Old Renovation,"Շիրակացի փողոց 62, Գյումրի","$28,000",USD,"In the central part of Gyumri, near the Vega store on Shirakatsi street, next to the sanitary epidemiological station, a very comfortable 3-room apartment with a total area of 68 square meters facing east and west is for sale with all communal facilities, hot and cold water, European windows. It is also possible to exchange it with an apartment with 1 + 1 rooms for an additional fee.Translated from Armenian",Nov-25-2022_14-08,,,Available,,,https://list.am/en/item/17254708
Stone,Yes,Not available,4,63 sq.m.,3,1,from 2.75 m,4,Open balcony,Euro Renovation,"Մուշ 2 թաղամաս 4/30, Գյումրի","$30,000",USD,"Has heating system (mercury), the house is in a completely new condition, the location of the house has never been inhabited, east to westTranslated from Armenian",Nov-25-2022_14-08,,,Not available,,,https://list.am/en/item/17786095
Monolith,No,Not available,4,80 sq.m.,3,1,from 2.7 m,3,Multiple balconies,No Renovation,"Trdat Architector street, Gyumri","13,300,000 ֏",AMD,"Apartment for sale, Ani district, Trdat Chartarapet street, near the Red Cross.The phone number may not be available, please write.Translated from Armenian",Nov-25-2022_14-08,,,Not available,,,https://list.am/en/item/18081787
Stone,No,Not available,5,63 sq.m.,2,1,from 2.75 m,2,Open balcony,Major Renovation,"Մուսայելյան փողոց 167, Գյումրի","$48,000",USD,"2 + 1 room, completely renovated. 200,000 is also available for rent.Translated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/18232839
Monolith,Yes,Not available,4,86 sq.m.,3,1,from 3 m,1,Multiple balconies,Old Renovation,"9-րդ փողոց 3, Գյումրի","$29,000",USD,"A 3-room apartment is for sale in the back of the police station in district 58, partially renovated, the door is iron, the bathroom is partially renovated, two balconies, one of which can be converted into a room, it has a basement, a school, a store and a kindergarten are nearby.Call in the eveningTranslated from Armenian",Nov-25-2022_14-08,,,Not available,,,https://list.am/en/item/18078499
Monolith,Yes,Not available,4,97 sq.m.,4,1,from 2.75 m,3,Not available,Euro Renovation,"Մինաս Ավետիսյանի փողոց 1, Գյումրի","$46,000",USD,"4-room (remodeled 3) (96 square meters) apartment for sale in Ani (58) district of Gyumri city, gas, electricity, hot and cold water, heating, water heater, large bathroom, iron door, 3rd floor. With kitchen furniture, European windows, south-west position, privatized.Комнаты-3, площадь-96, 5/3 этаж,Windows - plastic, south-west, gas, water - 24/7, electricity, heating - individual.Translated from Armenian",Nov-25-2022_14-08,,,By agreement,,,https://list.am/en/item/17995530
Stone,No,Not available,5,76 sq.m.,3,2,from 2.8 m,5,Multiple balconies,Old Renovation,"Улица Дзержинского 20, Մարալիկ","$13,000",USD,"The apartment is auctioned without exchange and closed! The apartment has not been inhabited since 2000, it is fenced, the electrical connections can be said to be new, the roof is metal. The apartment has a balcony overlooking the 2nd school. The doors and windows are old (Moskovsky) The apartment is located in the center of Maraliko! The building is considered one of the last buildings built in the Soviet period.I can send other pictures if you want.Translated from Armenian",Nov-25-2022_14-08,,,Not available,,,https://list.am/en/item/18371933
Monolith,Yes,Not available,4,83 sq.m.,4,1,from 2.8 m,3,Not available,Old Renovation,"3rd street 1, Gyumri","15,500,000 ֏",AMD,"АНИ (58) квартал. Площадь 83,23 кв, м. Все ком, удобства. Постоянная горячая и холодная вода, газ, элек-во. Индивидуальное отопление (частично), система Sguirrel. Трубы водоснабжения поменяны (частично) на пластиковые, канализационные тоже. Железная дверь, кладовка, подвал 14 кв, м. Ремонт в изначальном состоянии. Очень тёплая, светлая и сухая квартира. Возможности для внутреннего изменения широкие.Дом расположен на заднем дворе от банка ВТБ. Рядом ГУМ (старый), бистро КАРС. Детсады, Школа, Поликлиника, Аптеки, Банки, множество разных Магазинов на ОЧЕНЬ БЛИЗКОМ расстоянии от дома. С документами НЕТ НИКАКИХ ПРОБЛЕМ. Собственник Я. Чтобы увидеть квартиру звоните по ниже указанному номеру.О ЦЕНЕ ПО ЗВОНКУ НЕ ДОГОВАРИВАЮСЬ! ПО ЦЕНАМ С ОКРАИН И НЕ ПРОСИТЕ! РЕАЛЬНЫЙ ПОКУПАТЕЛЬ ПУСТЬ ПРИДЁТ УВИДЕТЬ - МОЖЕТ БЫТЬ ДОГОВОРИМСЯ!",Nov-25-2022_14-08,,,Not available,,,https://list.am/en/item/18037265
Panels,No,Not available,3,80 sq.m.,3,1,from 2.7 m,1,Closed balcony,Partial Renovation,"Minas Avetisyan street, Gyumri","$37,500",USD,"Gyumri. The apartment has a heating system, the windows are euro, only the kitchen is fully renovatedTranslated from Armenian",Nov-25-2022_14-08,,,Not available,,,https://list.am/en/item/15673883
Stone,Yes,Not available,2,600 sq.m.,5,1,from 2.7 m,2,Multiple balconies,Cosmetic Renovation,Shirak › Akhuryan,"$8,000",USD,"2-storey apartment, private house, dry and warm... There is no such price, it is the price of a garage... It is very dry for the size of the house... With a large yard... In New Ayuryan... With iron doors... The area of the house is 222.sq. M:Translated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/17232908
Monolith,Yes,Not available,4,101 sq.m.,4,1,from 2.75 m,4,Multiple balconies,Major Renovation,"Եղիշե Չարենցի փողոց 13Ա, Գյումրի","18,500,000 ֏",AMD,"The apartment is fully renovated. Before the renovation, the water line and wiring were completely changed. The windows are euro, the outer door is iron, individual heating system Mercury, it has an open and closed balcony. It is for sale together with the kitchen, two bedrooms, stylish furniture in the hallway. The part of the roof in the size of the apartment was exploited by me.Translated from Armenian",Nov-25-2022_14-08,,,Available,,,https://list.am/en/item/18233080
Stone,Yes,Not available,4,50 sq.m.,2,1,from 2.5 m,4,Open balcony,Major Renovation,"Տրդատ Ճարտարապետի փողոց 13, Գյումրի","$29,000",USD,"Վաճառվում է 2 սենյականոց բնակարան, կոմունալ բոլոր հարմարություններով։Տրդատ Ճարտարապետի փողոց 13/1 շենք. Սակարկելի։ Մանրամասների համար զանգահարել։Продается 2-х комнатная квартира, со всеми коммуникациями.Улица Трдат Архитектор, дом 13/1.Торг. Звоните.Translated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/18371490
,,,,,,,,,,,"Ֆուրմանով փողոց 53, Գյումրի","13,000 ֏ monthly",AMD,"Վարձով է տրվում տուն՝Գյումրու կենտրոնում: Տունը կապիտալ վերանորոգված է, տեղադրված են եվրո պատուհաններ և միջսենյակային փայտյա դռներ: Հատակը սալիկապատված է, ննջասենյակում՝ մանրահատակ: Տունն ապահովված է շուրջօրյա ջրամատակարարմամբ և գազամատակարարմամբ։Նախատեսված է 3-4 հոգու համար: Տունն ունի խոհանոց ՝իր բոլոր հարմարություններով, լոգարան և լոգասենյակ։Сдается в аренду дом в центре Гюмри. Дом капитально отремонтирован, установлены евроокна и межкомнатные деревянные двери. Пол выложен плиткой, паркет в спальне. Дом обеспечен круглосуточным водоснабжением и газоснабжением. В доме есть кухня со всеми удобствами, ванная и ванная.",Nov-25-2022_14-08,,,,,,https://list.am/en/item/17618412
Stone,No,Not available,5,76 sq.m.,3,1,from 2.8 m,5,Open balcony,Old Renovation,Shirak › Gyumri,"10,000,000 ֏",AMD,3-room apartment for sale in Gyumri city. Tbilisi highway Khrimyan Hayrik 10a building 35 apartment. Has a long balconyTranslated from Armenian,Nov-25-2022_14-08,,,,,,https://list.am/en/item/17003346
Stone,No,Not available,4,75 sq.m.,4,1,from 2.75 m,3,Not available,Euro Renovation,"Shirakatsi street, Gyumri","$37,000",USD,"Vajardum 4-room apartment with details of all utilities, call for detailsTranslated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/14778939
Panels,No,Not available,5,101 sq.m.,4,2,from 2.8 m,2,Closed balcony,Partial Renovation,"Պարույր Սևակի փողոց 3, Գյումրի","$45,000",USD,"4-room apartment for sale in Ani district, Paruyr Sjak street, the price is negotiableTranslated from Armenian",Nov-25-2022_14-08,,,,,,https://list.am/en/item/17690159
Monolith,No,Not available,5,49 sq.m.,1,1,from 3 m,1,Not available,Euro Renovation,Shirak › Gyumri,"$32,000",USD,"58 кварталКвартира находится в отличном состоянии. Теплая, просторная, уютная, светлая квартира на юго-восточной стороне.Имеется полисадник под окнами и подвал.",Nov-25-2022_14-08,,,,,,https://list.am/en/item/18228539
Stone,No,Not available,3,56 sq.m.,2,1,from 2.75 m,1,Closed balcony,Partial Renovation,"Երևանյան խճուղի 117, Գյումրի","$16,900",USD,"Yerevan highway (Stroymash) Very warm apartment. It has a basement, the entrance is from the house. Gas, electricity, constant cold, hot water. Very good neighbors, peaceful yard, you can park your car right under the windows. The closed balcony has been converted into a bedroom. There is a kindergarten and a school very close.Translated from Armenian",Nov-25-2022_14-09,,,Not available,YArd view,,https://list.am/en/item/17673242
Monolith,No,Not available,4,86 sq.m.,3,1,from 2.7 m,4,Not available,Cosmetic Renovation,"7-րդ փողոց 2, Գյումրի","$33,000",USD,"3-room apartment 86 sq. M. Is for sale. Մ. Located in Ani district, behind the Church. Exterior door: Wooden, euro windows, interior doors are made of wood. It is provided with round-the-clock water and gas supply. The apartment has 3 closets, open balcony. Outdoor parking spaces are provided for cars. All the necessary shops, places of rest, entertainment, etc. Are nearby.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/14072585
Monolith,No,Not available,3,117 sq.m.,5,1,from 2.75 m,1,Multiple balconies,Old Renovation,"11-րդ փողոց 8, Գյումրի","$36,000",USD,"This 5-room apartment with a total area of 117 sq. M. Is for sale in Ani district, near Pyatoryochka. There is a wooden door, wooden windows, interior doors are made of wood, the bathroom is tiled. It is provided with round-the-clock water supply and gas supply. There are 1 open and 3 closed balconies. Outdoor parking spaces are allocated for cars. All necessary shops, recreation and entertainment places, etc. Are nearby.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18130303
Monolith,No,Not available,4,88 sq.m.,3,1,from 2.7 m,4,Closed balcony,Euro Renovation,"8th district 3, Gyumri","$40,000",USD,"THE APARTMENT IS RENTED ON A LEASE BASED, IF IT WANTS, IT CAN CONTINUE WITH THE BUYER4-room apartment 82 sq. M. Is for sale. Մ. Located on Shirakatsi street, 8 GORODOK. Iron door is installed, interior doors and windows are made of wood. It is provided with round-the-clock water and gas supply. Individual heating system BAXI is installed, the kitchen and the bathroom is tiled, the floor is parquet. It has a closed balcony, a basement. There is a parking space in front of the building for the car. All the necessary shops, places of rest, entertainment, etc. Are nearby.Translated from Armenian",Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/10845826
Panels,No,Not available,1,52 sq.m.,2,1,from 3 m,1,Open balcony,Cosmetic Renovation,Shirak › Gyumri,"$32,000",USD,"An apartment for sale in the 8th military district, 2 + 1 rooms, gasification, permanent water, parquet, ATTENTION. The basement part of the three-meter-high apartment with the same surface area, which is suitable for business (barber shop, dental clinic, internet club, etc.) has two-way access to the basement, the apartment has the possibility to expand 6x2 meters in the entrance area. It is possible to exchange with your own house, for an additional fee.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17359390
Monolith,No,Not available,5,105 sq.m.,4,1,from 2.8 m,3,Multiple balconies,Major Renovation,"Trdat Architector street, Gyumri","$48,000",USD,"The apartment is equipped with all utilities: Double-circuit heating system, round-the-clock water supply, gas. The floor is parquet, the windows are European-made, the entrance door is Iron, the electrical wires are Copper, the bathroom is Tiled, the interior doors are High quality and newly installed. It is available under the roof of a 35m warehouse building with a ceiling height of 2.7 meters. It is also possible to arrange the sale together with a partial property. A garage is also sold separately from the apartment along with a separate plot of land.For details, contact the phone number indicated in the announcement.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18320964
Stone,Yes,Not available,4,44 sq.m.,1,1,from 2.8 m,1,Open balcony,Cosmetic Renovation,Shirak › Gyumri,"$17,000",USD,"Good offer, real estate agencyTranslated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/13849302
Stone,Yes,Not available,1,87 sq.m.,2,1,from 2.8 m,1,Open balcony,Cosmetic Renovation,"Մուշ 2 թաղամաս 10-2Ա, Գյումրի","$26,500",USD,Apartment in GyumriTranslated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/13965493
Stone,No,Not available,5,56 sq.m.,2,1,from 2.8 m,3,Closed balcony,Old Renovation,"Երևանյան խճուղի 155, Գյումրի","9,000,000 ֏",AMD,"An apartment is for sale in the beginning of Gyumri city.The total area of the apartment is 56 square meters, 2 rooms. The latter is in an unrepaired state and has closed balconies. It has a window that looks towards the street of Yerevanyan highway. All communications are available: Electricity, gas and constant water. Bathroom and tub are separate. The building is located in one of the best parts of the city.Translated from Armenian",Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/18170451
Monolith,No,Not available,5,82 sq.m.,3,1,from 2.8 m,2,Closed balcony,Partial Renovation,"Улица Егише Чаренца 2, Гюмри","$38,000",USD,Apartment in Gyumri cityTranslated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/18091467
Stone,No,Not available,5,87 sq.m.,4,2,from 2.8 m,5,Open balcony,Old Renovation,Shirak › Ashotsk,"$15,000",USD,"The apartment is located in the village of Ashotsk, Shirak marz. Along with the apartment, there is also a large cattle shed, a plot of land for sale. Call for details.Translated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/18369311
Bricks,No,Not available,2,900 sq.m.,6,1,from 2.75 m,1,Open balcony,Old Renovation,"Տեր-Գաբրիելյան փողոց 19, Գյումրի","$25,000",USD,"An apartment is for sale in Ter-Gabrielyan district, in normal residential condition, total living area 900 square meters, 280 square meters attached garage and storage area, 2 floors of rooms, 3 rooms on the first floor, three second bathrooms, tiled jacuzzi, price 25,000Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18064799
Monolith,No,Not available,4,78 sq.m.,4,2,from 2.7 m,2,Open balcony,Euro Renovation,"Մինաս Ավետիսյանի փողոց 8, Գյումրի","21,800,000 ֏",AMD,3-room apartment I will exchange mekenaneri hetTranslated from Armenian,Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/18278626
Stone,No,Not available,4,40 sq.m.,1,1,from 2.8 m,4,Open balcony,Major Renovation,"Shahumyan street 188, Gyumri","$45,500",USD,"In the center of Gyumri, in the central square, Vardanants Square, next to Alexandrapol Hotel, a 1-room apartment with all utilities is for sale, CAPITALLY RENOVATED in 2022, modern iron door, with euro windows, tiled, open balcony, individual heating system, heating under HOT FLOOR, permanent hot and cold water, with individual water pump, included in the price.Double bed, washing machine, gas stove (also electric), electric oven (духовка), refrigerator, kitchen furniture complete, TV, sofa, armchair, kitchen furniture (table with chairs), bedroom furniture, corridor furniture.Nearby are the market, all necessary shops, school, kindergarten, 4 different transport routes, entrance with code (подезд с кодом), also suitable for offices.Offered for long-term rent for $250 per month (utilities are NOT INCLUDED in the price)For more information call: FAST SALE!Translated from Armenian",Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/17719677
Stone,No,Not available,5,57 sq.m.,2,1,from 2.5 m,3,Closed balcony,Cosmetic Renovation,Shirak › Gyumri,"$40,000",USD,"The apartment has 2 rooms + characters, for details write WhatsApp address 143a Gyumri Highway, GyumriTranslated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17534859
Stone,Yes,Not available,4,40 sq.m.,1,1,from 2.8 m,4,Not available,Cosmetic Renovation,Shirak › Gyumri,"$24,000",USD,"With all utilities, heating system, basement. Located in Mush 2/2 district, 44 buildings, 1 entrance, 11 apartments.Translated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/18265837
Stone,No,Not available,4,80 sq.m.,3,3+,from 2.7 m,1,Closed balcony,Partial Renovation,"Artak Episkopos Smbatyan Street 10, Gyumri","$31,000",USD,"A 3-room apartment is for sale in Yerevan highway, it has an opening on the street side, it can serve as a trade and service facility, 2 bathrooms, hot and cold water, heating, in the garden there is a garage with a basement. Privatized.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18307222
Stone,No,Not available,2,160 sq.m.,5,2,from 3.5 m,2,Multiple balconies,Designer Renovation,"Haghtanak Avenue, Gyumri","$220,000",USD,"A two-story capital renovated designer-style apartment is for sale, in the heart of the city (Hatsatun Gyumri) next to a cafe, there are 2 open balconies, one of which overlooks the center, Gorku street and Bagratunyats Ring, the total area is 160 square meters.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18368016
