Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,Appliances,Window Views,The House Has,Parking,Links
Stone,Yes,Not available,5,50 sq.m.,2,2,from 2.8 m,3,Open balcony,Available,Major Renovation,"Rustavi street 7, Vanadzor","$16,000",USD,"A 2-room apartment for sale in a busy neighborhood, on the 3rd floor of a fortified building. The building was strengthened in 2003. With communal facilities. Light, gas, water. The pipes have been replaced with metaplastic, the entrance door is made of iron. Located in the sunniest part of the building. It has a basement. Would also be interested in an exchange offer with the 1st floor. Price negotiableTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18076924
Monolith,Yes,Not available,4,92 sq.m.,3,1,from 2.8 m,4,Multiple balconies,,Designer Renovation,"Թորոսյան փողոց 15, Սպիտակ","$38,000",USD,"The apartment is Euro-renovated / There is a heating system (Squriel) with aluminum radiators. The windows are of European production. The front door is iron. The floor is laminate. The roof is newly changed. There are two balconies with boats. Wooden. There is also a basement. If you wish, they will be sold together for an additional fee. For details, call.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17885965
Stone,No,Not available,4,105 sq.m.,3,1,from 3.2 m,1,Closed balcony,,Old Renovation,"Tigran Mets Avenue 15, Vanadzor","$200,000",USD,"Центр города, удобно для бизнеса, в этом здании один такой остался. Банк, магазин, офис, есть возможность использовать подвальная часть, и сделать общая площадь 180кв. М.",Nov-25-2022_14-07,,,,,https://list.am/en/item/18030195
Stone,Yes,Not available,5,86 sq.m.,3,1,from 2.8 m,2,Open balcony,Available,Cosmetic Renovation,"Գարեգին Նժդեհի փողոց 35, Ստեփանավան","25,000 ֏",AMD,"The furniture is for daily rent in Stepanavan, in good condition, the necessary accessories are available, right in the center of the city. The price is negotiable depending on the number of days.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17860232
Stone,No,Not available,5,72 sq.m.,3,1,from 2.7 m,4,Open balcony,,Old Renovation,"Zoravar Andranik street, Vanadzor","$25,000",USD,"Бнакаран@ аревкох е, ка газ джур (так) тун@ гтнвум е кангарин мот, асцен Зоравар Андраники 99/45.грек миайн смс гин сакаркели",Nov-25-2022_14-07,,,,,https://list.am/en/item/16006598
Stone,No,Available,9,79 sq.m.,3,1,from 2.7 m,9,Open balcony,,Old Renovation,"Moskovyan street, Vanadzor","$22,000",USD,"The apartment has all utilities, the roof has been completely renovated, the electricity is completely new (copper), the water pipes have been replaced, it has 2 storage rooms (кладовка) on the roof, the apartment, the building is located at the bottom of the indoor market.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18199148
Panels,No,Available,9,140 sq.m.,5,1,from 2.7 m,1,Open balcony,By agreement,Cosmetic Renovation,"Agayan street 59/3, Vanadzor","$43,000",USD,"Apartment in Vanadzor, which can be used for commercial, office or other purposes.Area 140m, first floor, five rooms, projectile, 20 meters front. It has a basement of about 100 square meters, as it is possible to increase the area by about 100 square meters (there is a precedent)Negotiable:Vanadzor Vanadzorum:Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/16491054
Stone,No,Not available,5,105 sq.m.,4,1,from 3 m,4,Multiple balconies,Not available,Partial Renovation,"Գրիգոր Լուսավորչի փողոց 52, Վանաձոր","21,000,000 ֏",AMD,"4-room apartment is for sale in Grigor Lusavorich 52 building (near the market) 105 sq. M. The apartment is located on the 4th floor of a 5-storey building. It is very grassy and bright. It has an iron door, heating system, euro windows. The bathroom is completely new, it has a heated floor, a 100 liter water tank is installed, the pipes and the electric wires are new. The doors of all the rooms are available. The whole area of the house is plastered. The apartment has open and closed balconies and small storage room. For more information call:Whatsap_It is possible to exchange with a 3-room apartment (in the central districts of the city) with your surcharge.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17500813
Stone,No,Not available,5,78 sq.m.,3,1,from 2.6 m,3,Open balcony,,Major Renovation,"Կարեն Դեմիրճյան փողոց 26, Վանաձոր","$55,000",USD,Price: ContractualAddress: Near Station ParkTranslated from Armenian,Nov-25-2022_14-07,,,,,https://list.am/en/item/18265190
Stone,No,Not available,4,56 sq.m.,2,1,from 3 m,1,Closed balcony,Available,Old Renovation,Lorri › Alaverdi,"$13,000",USD,"2-room apartment on the 1st floor of Engels 4 building is for sale urgently.The apartment is in good condition, has 2 basements, a stone garage, for sale together with the property, price 13000 $Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/14876172
Stone,No,Not available,5,70 sq.m.,2,1,from 2.75 m,5,Open balcony,,Euro Renovation,"Chukhajyan street 60, Vanadzor","8,000,000 ֏",AMD,"An apartment is for sale in Chukhajyan 60 (jungle) districtRenovated with all utilitiesresidential70 sq/m2 rooms with niche5th floor, newly renovated basementwindows replacedopen balconyalso has a basementexchange is also possibleone room with an apartment in the section from Khimzavod to Univermak️ It does not have a heating system (baxi)$20,000Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18204082
Stone,No,Not available,3,93 sq.m.,3,1,from 3 m,2,Open balcony,Available,Major Renovation,"Tigran Mets Avenue 9, Vanadzor","$65,000",USD,"Площадь: 93 кв. М. ; потолки 3,2 м. ; паркет из дуба; II этаж; усиленная после землетрясения, полная отделка хорошего качества; наличие погреба, стоянка для автомобиля; солнечная сторона улицы. Продажа с мебелью. Если у вас есть Вацап я вам видик пошлю. Квартира может использоваться в коммерческих целях при разрешении органов муниципалитета, так как имеет выход на центральный проспект.Продается квартира в Ванадзоре ",Nov-25-2022_14-07,,,,,https://list.am/en/item/17681904
Stone,No,Not available,4,54 sq.m.,2,1,from 3 m,4,Closed balcony,,Euro Renovation,Lorri › Vanadzor,"$25,000",USD,"Apartment for sale in Dimats district,Builders Streetrepaired,Details,furniture (bedroom, living room, kitchen)closed balconyBucksfloor: Parquet and tile (metlakh)European hotelsFor other questions, call the indicated phone numberTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18136204
Stone,No,Not available,5,73 sq.m.,3,1,from 2.8 m,5,Multiple balconies,,Major Renovation,"13-րդ փողոց 36, Գուգարք","$20,000",USD,"Urgent sale of a 3-room apartment in Gugark village, 1 street, 1 building, 38 apartments, 5/5 floors, only real buyers can call, the price is negotiable for a real buyer, it is also available for rent, the price is negotiableTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18189120
Panels,No,Available,6,74 sq.m.,3,1,from 3.2 m,6,Open balcony,,No Renovation,"Չուխաջյան փողոց 30/22Գ, Վանաձոր","$18,000",USD,"For sale: A strong sunny apartment built after the Earthquake along with a garage, a concrete garage with a box. Call Tigran and Vatsab. The apartment is at Chukhajyan 30/22 (an attached garage is rented on a rental basis, it has a big strong concrete box, suitable for a workshop, all documents are in order. In condition) The apartment was built after the earthquake, the thickness of the walls is 80 cm, it is sunny and dry, it needs repair, at the moment the apartment is rented. Call the number with bad news.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18272012
Stone,No,Not available,5,87 sq.m.,3,1,from 2.8 m,1,Open balcony,Available,Designer Renovation,"Квартал Нерсисян 6, Ванадзор",48 ֏,AMD,"A 3-room apartment of 87 square meters is for sale. M, high first floor. The apartment has all utilities, constant water, heating system, basement. The apartment has an iron door, a security system, bars, and an open balcony. There is a stone garage for 2 cars at the back of the building. The apartment has a luxurious renovation. It is sold together with furniture.Apartment price including furniture and garageTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18215674
Panels,No,Not available,9,80 sq.m.,3,1,from 2.8 m,1,Closed balcony,,Old Renovation,"Rustavi street, Vanadzor","$16,500",USD,"High 1st floor, side, basement garage, very convenient projectTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17849659
Stone,No,Not available,4,55 sq.m.,2,1,from 3 m,1,Not available,,Major Renovation,"Myasnikyan street, Vanadzor","$40,000",USD,"A 2-room apartment is for sale, in a solid stone building, on the first floor. The apartment is newly and high-quality renovated, it has a basement. Call on WhatsApp.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/15593787
Stone,Yes,Not available,4,79 sq.m.,2,1,from 3 m,2,Open balcony,,Euro Renovation,Lorri › Stepanavan,"$50,000",USD,Прадаётся квартира в центре Степанавана #продажа#квартира# продпжа# евроремонт# квартира#продажа#,Nov-25-2022_14-07,,,,,https://list.am/en/item/18026396
Stone,No,Not available,5,75 sq.m.,3,1,from 3 m,5,Multiple balconies,By agreement,Old Renovation,Lorri › Vanadzor,"7,000,000 ֏",AMD,"It is a sunny, dry building, the roof has not been changed, it has an open balcony from the bedrooms and a closed balcony from the living room, Address c. Vanadzor Shirak Street 28 Building (Congo)Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17629943
Stone,No,Not available,5,76 sq.m.,3,1,from 2.5 m,4,Open balcony,,Major Renovation,Lorri › Tashir,"18,000,000 ֏",AMD,Ջաուկյան 15Центр городаДом продается с мебелью и техникой,Nov-25-2022_14-07,,,,,https://list.am/en/item/14787542
Stone,No,Not available,3,80 sq.m.,3,1,from 2.8 m,1,Open balcony,Not available,Euro Renovation,Lorri › Spitak,"$40,000",USD,"The apartment is located in the center of the city, it is renovated. It has an open balcony, a renovated basement, there is a plot of land with fruit trees at the back of the house. There is a fireplace in the living room, there are built-in closets in the rooms, the bathroom արանը the bathroom is tiled, it has an individual heating system (baxi), hot and cold water, there are all the communal facilities, all the rooms are parquet. For details, call the mentioned number.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17643622
Panels,No,Not available,4,85 sq.m.,3,1,from 2.7 m,3,Closed balcony,,Partial Renovation,"Տարոն-4 թաղամաս 10, Վանաձոր","$25,000",USD,"The apartment is located in Vanadzor, in Taron 4 Belarunner district 1 building, it is sunny, has mental water and light, entrance door @ iron, with euro windows, concrete floor, renovated, the bathroom is tiledPrice is negotiableTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/16760408
Panels,No,Available,9,67 sq.m.,2,1,from 2.75 m,4,Closed balcony,,Old Renovation,"Վիկտոր Համբարձումյանի փողոց 17, Վանաձոր","$18,000",USD,"A 2-room apartment is for sale in Bazum district, located at Hambardzumyan 17. It has a large closed balcony, on the 4th floor of a 9-story building next to the school. It is in state condition.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18195838
Stone,No,Not available,5,60 sq.m.,3,1,from 2.8 m,5,Open balcony,,Euro Renovation,"Taterakan street 8, Vanadzor","$36,000",USD,"Солнечная квартира с обеих сторон. Дом находится рядом с др. Театром. Дом в хорошем состоянии, соседи хорошие. 2 комнатная квартира переделанная на 3 комнатную",Nov-25-2022_14-07,,,,,https://list.am/en/item/17280154
Panels,No,Not available,9,98 sq.m.,4,1,from 2.8 m,9,Open balcony,,No Renovation,"Viktor Hambartsumyan street, Vanadzor","$13,000",USD,Բնակարանը գտնվում է պետական վիճակում։ փոխանակման համար կլսեմ առաջարկներ,Nov-25-2022_14-07,,,,,https://list.am/en/item/18311948
Stone,No,Not available,5,85 sq.m.,3,1,from 2.8 m,5,Open balcony,,Old Renovation,"Երևանյան խճուղի 148, Վանաձոր","$20,000",USD,"There is a garage, a basement. It is on the 5th floor of a 5-storey building.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17604038
Panels,Yes,Not available,5,105 sq.m.,4,1,from 2.8 m,5,Open balcony,,No Renovation,"Микрорайон Ани 1А, Ташир","$13,000",USD,"City Tashir. Ani district, Gruz-Armenstroy.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17787710
Stone,No,Not available,3,62 sq.m.,2,1,from 2.7 m,1,Open balcony,By agreement,Old Renovation,Lorri › Alaverdi,"$13,000",USD,"URGENT Two-room apartment is for sale in Alaverdi. 62 sq. M. The apartment has open-closed balconies and a storage room. High ceilings. Gas, water and electricity, is in good condition. The first floor is from the yard of the building to the second floorTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17857635
Stone,No,Not available,4,56 sq.m.,2,1,from 2.8 m,1,Closed balcony,Available,Euro Renovation,"Ղազարոս Աղայանի փողոց 65, Վանաձոր","$17,000",USD,"The apartment is located in front of the front garden. Renovated euro windows, tiled bathroom, heating systemTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17635242
Stone,No,Not available,4,34 sq.m.,2,1,from 2.5 m,4,Open balcony,,No Renovation,Lorri › Vanadzor,"$20,000",USD,One bedroom turned into twoTranslated from Armenian,Nov-25-2022_14-07,,,,,https://list.am/en/item/18337903
Panels,Yes,Available,9,65 sq.m.,3,1,from 3 m,6,Closed balcony,,Cosmetic Renovation,"Nersisyan lane, Vanadzor","$33,000",USD,"VERY URGENT... A 3-room apartment is for sale in Vanadzor city. It has a Baxi system, a garage in the yard, all the furniture is new. The price is $33,000, negotiable.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17573608
Panels,No,Available,9,71 sq.m.,2,1,from 2.8 m,8,Closed balcony,By agreement,Euro Renovation,"Ուսանողական փողոց, Վանաձոր","14,000,000 ֏",AMD,"The apartment is located at 8 Student Street, it is fully renovated (not inhabited), it is equipped with all utilities, the bathroom is fully furnished. It is bright and sunny.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18145665
Stone,No,Not available,4,32 sq.m.,1,1,from 2.6 m,1,Not available,Not available,Euro Renovation,"Agayan street 84, Vanadzor","$13,000",USD,"For details, write or call, it is not closed, there is no way to change the price, please call for a lower price.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/16754467
Panels,Yes,Not available,4,99 sq.m.,4,1,from 3 m,4,Open balcony,,No Renovation,"Տարոն-4 թաղամաս 51Վ/6, Վանաձոր","$17,300",USD,Продаю квартиру в новостройке без ремонта под ваш вкус,Nov-25-2022_14-07,,,,,https://list.am/en/item/18369119
Stone,No,Not available,5,1111 sq.m.,2,2,from 3 m,4,Multiple balconies,Available,Old Renovation,"Սանահին Սարահարթ թաղամաս 3/13, Ալավերդի","$6,000",USD,Վաճառվում է Վաճառվում էbnakaran alaverdi qaxaqum 3/13 Վաճառվում է,Nov-25-2022_14-07,,,,,https://list.am/en/item/16264077
Panels,No,Available,9,82 sq.m.,3,1,from 3 m,9,Open balcony,,Partial Renovation,"Moskovyan street 54/1, Vanadzor","$24,000",USD,"Очень срочно, крыша новая, постоянная вода, лифт всегда работает, очень солнечная квартира, звонить по второму номеру.",Nov-25-2022_14-07,,,,,https://list.am/en/item/18163864
Stone,No,Not available,5,50 sq.m.,2,1,from 2.5 m,4,Closed balcony,Available,Old Renovation,"Tigran Mets Avenue 56, Vanadzor","$30,000",USD,1 room built a balcony with a closed balcony. Garage back in priceTranslated from Armenian,Nov-25-2022_14-07,,,,,https://list.am/en/item/15691497
Stone,No,Not available,5,49 sq.m.,1,1,from 2.7 m,4,Closed balcony,By agreement,No Renovation,"Միկոյան փողոց 2/24, Ալավերդի","$10,000",USD,"State status without an intermediary, if the number is unavailable, write. The price is negotiable.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/15770445
Stone,No,Not available,5,82 sq.m.,3,1,from 2.7 m,5,Multiple balconies,,Partial Renovation,"Սանահին Սարահարթ թաղամաս 3/2, Ալավերդի","$9,000",USD,"A 3-room apartment is for sale on the 5th floor of a five-story building in Sanahin/Sarahart district (near the Ellada wedding hall) It has an open and closed balcony, partial renovation works have been done. There is constant water, electricity, gas. The apartment is empty. Newly purchased and unused repair accessories are also available: Interior and exterior doors, laminate, wallpaper, gypsonite, plasterboard, light cords, etc. If purchased together with repair kits, the price changes to $12,000. The bathroom is renovated in designer style. Doors, wallpaper and laminate are also selected in a designer style. In case of questions, call the indicated phone number.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18282733
Monolith,Yes,Not available,5,80 sq.m.,3,1,from 2.8 m,1,Closed balcony,,Euro Renovation,"Agayan street 80, Vanadzor","$35,000",USD,Thoroughly reconstructedTranslated from Armenian,Nov-25-2022_14-07,,,,,https://list.am/en/item/18376053
Monolith,No,Not available,5,108 sq.m.,4,1,from 2.7 m,4,Multiple balconies,Not available,Partial Renovation,"ՔՇՀ-3 12, Վանաձոր","$30,000",USD,"It is an Alushta type building. In the immediate vicinity of the school and kindergarten. Close to the public transport stop. The apartment is very western and has 3 balconies, 1 closed and 2 open. It has a basement. It also has a stone garage with a box, which is sold separately. NegotiableTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18309210
Stone,No,Not available,4,70 sq.m.,3,1,from 3 m,4,Closed balcony,Available,Old Renovation,"Տիգրան Մեծի պողոտա 24/74Գ, Վանաձոր","$45,000",USD,"I am selling 3 rooms. Bakaran K • Vanadzorom. In the square, central building, the price is final, unrelated people should not call suddenlyTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17509178
Stone,No,Not available,5,99 sq.m.,4,2,from 3 m,5,Multiple balconies,Available,Major Renovation,Lorri › Vanadzor,"25,000,000 ֏",AMD,"A sunny apartment equipped with all utilities is for sale in the city center (Myasnikyan 4) The apartment has 2 closed and 1 open balconies. It has a central heating system, the roof is repaired. It has 2 nodes.The yard also has a privatized garage (for an additional fee) It is also available for long-term rent for 220,000 drams per month;Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18004210
Panels,No,Available,9,80 sq.m.,3,1,from 2.8 m,1,Multiple balconies,By agreement,Old Renovation,"Կարեն Դեմիրճյան փողոց 14, Վանաձոր","$25,000",USD,"3-room apartment is for sale, exchange is possibleTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/16910734
Monolith,Yes,Available,9,206 sq.m.,1,1,from 3 m,3,Not available,,No Renovation,"Տիգրան Մեծ պողոտա 73, Վանաձոր","$140,000",USD,"The apartment is located in the Elite building, the building was built after the earthquake.It has 8 windows, 4 of which face Tigran Mets Street.KFC, ID bank, team telecom are located on the first floor of the buildingTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18199831
Panels,Yes,Not available,4,59 sq.m.,1,1,from 2.8 m,4,Open balcony,,Partial Renovation,Lorri › Vanadzor,"$12,000",USD,Urgent in normal conditionTranslated from Armenian,Nov-25-2022_14-07,,,,,https://list.am/en/item/16959460
Monolith,Yes,Not available,4,48 sq.m.,1,1,from 2.75 m,2,Closed balcony,,Euro Renovation,"Nersisyan street, Vanadzor","$35,000",USD,"It is a clean, pasture apartment. It is separated together with the property.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17543670
Panels,No,Available,9,88 sq.m.,4,2,from 2.8 m,7,Open balcony,,Partial Renovation,"Կարեն Դեմիրճյան փողոց 14, Վանաձոր","$55,000",USD,"Bright, spacious and comfortable.In the central part of Vanadzor, the apartment is for rent, or I will exchange it for an apartment in Yerevan.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18066529
