Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Amenities,Appliances,Window Views,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Links
Stone,No,Not available,5,58 sq.m.,2,1,from 2.8 m,1,Closed balcony,Cosmetic Renovation,Vayots Dzor › Jermuk,"50,000 ֏ monthly",AMD,"An apartment is for rent in Jermuk's Dzahapnyak district. Those interested can write viber, whatsappTranslated from Armenian",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/18139436
Stone,No,Not available,5,35 sq.m.,1,1,from 2.7 m,1,Not available,Euro Renovation,"Shahumyan street, Jermuk","10,000 ֏ daily",AMD,"An apartment is for daily rent in Jermuk city (on the right bank) The apartment is equipped with all amenities, has constant hot and cold water. Available for 1-4 persons only.You will contact the owner directly.)Translated from Armenian",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/17180215
Stone,No,Not available,4,65 sq.m.,3,1,from 2.6 m,4,Not available,Major Renovation,"Շահումյան փողոց 2, Ջերմուկ","20,000 ֏ daily",AMD,"Վաճառվում է ։ Օրավարձով և ամսով է տրվում վերանորոգված և կահավորված բնակարան,առկա են բոլոր հարմարությունները, նույն համարի viberWIFIԱրժեքը՝ պայմ.Квартира с ремонтом сдается посуточно на месяц,Все удобства доступны в одном номереWIFIЦена` ДрамЦена может поменяться в зависимости от суток пребывания и числа проживающих",Nov-24-2022_17-50,Available,,,,6.0,Yes,No,Included,Without prepayment,https://list.am/en/item/16698739
Stone,No,Not available,4,60 sq.m.,2,1,from 2.7 m,3,Not available,Major Renovation,"Շահումյան փողոց 1, Ջերմուկ","20,000 ֏ daily",AMD,"Օրավարձով է տրվում վերանորոգված և կահավորված բնակարան,առկա են բոլոր հարմարությունները, 10.000 դրամWIFIԱրժեքը՝ պայմ.Квартира с ремонтом сдается посуточно на месяц,Все удобства доступны в одном номереWIFIЦена` ДрамЦена может поменяться в зависимости от суток пребывания и числа проживающих",Nov-24-2022_17-50,Available,,,,6.0,Yes,No,Included,Without prepayment,https://list.am/en/item/16320320
Stone,No,Not available,3,50 sq.m.,3,1,from 2.7 m,3,Open balcony,Euro Renovation,"Ստեփան Շահումյանի փողոց 2, Ջերմուկ","20,000 ֏ daily",AMD,Euro-renovated apartment is for rent on the right bank of Jermuk city.Translated from Armenian,Nov-24-2022_17-50,Available,,,,5.0,Yes,No,By Agreement,By Agreement,https://list.am/en/item/17939668
Stone,No,Not available,5,60 sq.m.,3,1,from 2.8 m,3,Multiple balconies,Cosmetic Renovation,"Ձախափնյակ թաղամաս 3/19, Ջերմուկ","60,000 ֏ monthly",AMD,It is rented together with a garage.For more information call.High speed internet is available.There is no bucks.Translated from Armenian,Nov-24-2022_17-50,Available,,,,4.0,Yes,No,Not included,By Agreement,https://list.am/en/item/18345044
Stone,No,Not available,5,67 sq.m.,2,1,from 2.8 m,3,Closed balcony,Major Renovation,Vayots Dzor › Jermuk,"100,000 ֏ monthly",AMD,"For rent 150,000 New property furnished.Not occupied after renovation.New bedroom furniture was bought.High speed internet is available.Translated from Armenian",Nov-24-2022_17-50,Available,,,,4.0,Yes,No,Not included,By Agreement,https://list.am/en/item/17965039
Stone,No,Not available,4,35 sq.m.,2,1,from 2.6 m,4,Open balcony,Major Renovation,"Stepan Shahumyan Street 4, Jermuk","12,000 ֏ daily",AMD,"Տրվումե օրավարձով (վարձով) 1 սենյականոց բնակարան ջերմուկում՚ բնակարանը կապիտալ վերանորոգված է ունի կոմունալ բոլոր հարմարություններն։Մանրամասների համար զանգահարել նշված հեռախոսահամարովСдается однокомнатная квартира посуточно в Джермуке, в квартире сделан капитальный ремонт, есть все коммунальные удобства.За подробностями звоните по указанному номеру телефонаTranslated from Armenian",Nov-24-2022_17-50,Available,,,,5.0,Yes,No,Not included,By Agreement,https://list.am/en/item/17849503
Stone,No,Not available,5,60 sq.m.,1,1,from 2.75 m,1,Closed balcony,Euro Renovation,"Momik St 6, Yeghegnadzor","10,000 ֏ daily",AMD,"For two or more days, the price will be reducedTranslated from Armenian",Nov-24-2022_17-50,,,,,4.0,Yes,No,Included,Without prepayment,https://list.am/en/item/18180558
Panels,Yes,Not available,5,42 sq.m.,2,1,from 2.8 m,2,Open balcony,Major Renovation,"Ձախափնյակ թաղամաս 3/21, Ջերմուկ","15,000 ֏ daily",AMD,"The apartment is completely renovated, there is no gas, there is an electric stove, call for details.Translated from Armenian",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/18084692
Stone,No,Not available,5,47 sq.m.,2,1,from 2.8 m,3,Closed balcony,Old Renovation,Vayots Dzor › Jermuk,"45,000 ֏ monthly",AMD,1-room apartment is for rent on the left bank of Jermuk city.Translated from Armenian,Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/17761816
Stone,No,Not available,5,30 sq.m.,2,1,from 2.75 m,1,Not available,Major Renovation,"Stepan Shahumyan Street 4, Jermuk","12,000 ֏ daily",AMD,"Օրավարձով է տրվում բնակարան Ջերմուկ քաղաքի կենտրոնում, բնակարանը հագեցած է անհրաժեշտ գույքով և տեխնիկայով, մշտական տաք և սառը ջուր, բնական գազ, անվճար WIFI, կապիտալ վերանորոգված և կահավորված։ Շատ հարմար է ընտանիքով հանգիստը անցկացնելու համար։Հարցերի համար զանգահարեք նշված հեռախոսահամարովСдается квартира посуточно в центре г. Джермука, в квартире необходимая бытовая техника, постоянная горячая и холодная вода, газ, бесплатный WIFI, капитальный ремонт, мебель. Очень удобно отдыхать с семьей.По вопросам звоните по указанному номеру",Nov-24-2022_17-50,Available,,,,4.0,Yes,No,Not included,Without prepayment,https://list.am/en/item/17758755
Stone,No,Not available,5,78 sq.m.,3,1,from 3 m,3,Multiple balconies,Partial Renovation,Vayots Dzor › Jermuk,"50,000 ֏ monthly",AMD,Ջերմուկ քաղաքի Ձախափնյակ թաղամասում վարձով է տրվում 3 սենյականոց բնակարան։ Մանրամասների համար զանգահարել,Nov-24-2022_17-50,Available,,,,4.0,Yes,No,Not included,1 month,https://list.am/en/item/17932136
Stone,No,Not available,5,35 sq.m.,1,1,from 2.8 m,2,Closed balcony,Cosmetic Renovation,"Մյասնիկյան փողոց 24, Ջերմուկ","10,000 ֏ daily",AMD,"It is also given long-term.An apartment is for rent in the city of Jermuk, it is provided with all the necessary facilities (furnished, necessary dishes, constant hot and cold water, washing machine, TV)Individual heating system (baxi)It is located in the immediate vicinity of Jermuk Hotel and Spa.H. C. NOT an agency.3-4 days: 12,000 per dayTranslated from Armenian",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/17273276
Stone,No,Not available,3,80 sq.m.,3,1,from 2.6 m,2,Not available,Cosmetic Renovation,Vayots Dzor › Jermuk,"15,000 ֏ daily",AMD,Apartment for daily rent in JermukTranslated from Armenian,Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/17991955
Stone,No,Not available,4,47 sq.m.,2,1,from 2.7 m,2,Not available,Cosmetic Renovation,"Ձախափնյակ թաղամաս 3/15, Ջերմուկ","10,000 ֏ daily",AMD,"A two-room apartment is for rent in the city of Jermuk (left bank) The house consists of two bedrooms and a living room. One of the bedrooms has one double bed, one single bed, the other bedroom has one single bed, and there is a pull-out sofa in the living room. For more information call.Translated from Armenian",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/18034273
Stone,No,Not available,5,68 sq.m.,3,1,from 2.75 m,4,Multiple balconies,Old Renovation,"Dzakhapnyak District 3/43, Jermuk","45,000 ֏ monthly",AMD,"2-3 bedroom apartment for rent in Dzahap, 11 buildingTranslated from Armenian",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/18199711
Stone,Yes,Not available,3,50 sq.m.,2,1,from 2.7 m,2,Open balcony,Cosmetic Renovation,Vayots Dzor › Jermuk,"11,000 ֏ daily",AMD,"The apartment is located in front of ""Anoush"" hotel.Translated from Armenian",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/18104617
Stone,No,Not available,4,68 sq.m.,3,1,from 2.7 m,3,Not available,Designer Renovation,Vayots Dzor › Jermuk,"20,000 ֏ daily",AMD,"A 3-room apartment is for rent in the center of Jermuk.The apartment is equipped with everything necessary for recreation, Ucom TV and wifi.Please call for detailsShahumyan 4:30 p. MTranslated from Armenian",Nov-24-2022_17-50,,,,,6.0,Yes,No,Included,By Agreement,https://list.am/en/item/18004220
Stone,No,Not available,3,60 sq.m.,2,1,from 3 m,2,Open balcony,Cosmetic Renovation,"Shahumyan street, Jermuk","15,000 ֏ daily",AMD,Call the specified number in detail.Translated from Armenian,Nov-24-2022_17-50,,,,,3.0,Yes,No,By Agreement,By Agreement,https://list.am/en/item/12808112
Stone,Yes,Not available,1,46 sq.m.,1,1,from 2.8 m,1,Closed balcony,Major Renovation,"Dzakhapnyak District 3/43, Jermuk","10,000 ֏ daily",AMD,"Տրվում է օրավարձով Լուսավոր, մաքուր և հարմարավետ բնակարան ՋերմուկիՁախափնյակ թաղամասում ունի անհատական ջեռուցման համակարգԳինը Մինչև 4 հոգին 100004ից ավել հոգին 15000Ջերմուկ Ձախափնյակ 13/11Джермук дзахапняк 13/11Jermuk dzaxapnyak 13/11",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/17978954
Stone,No,Not available,5,35 sq.m.,1,1,from 2.7 m,1,Not available,Euro Renovation,"Shahumyan street, Jermuk","10,000 ֏ daily",AMD,An apartment is for daily rent in Jermuk (on the right bank) with all communal facilities. ()) Available for 1-4 people onlyTranslated from Armenian,Nov-24-2022_17-50,,,,,3.0,Yes,No,By Agreement,By Agreement,https://list.am/en/item/16385260
Stone,Yes,Not available,5,46 sq.m.,2,1,from 2.8 m,4,Closed balcony,Euro Renovation,"Ձախափնյակ թաղամաս 3, Ջերմուկ","13,000 ֏ daily",AMD,"A 2-room apartment in Jermuk, newly renovated, with all utilities, is for rentApartment in JermukJermuk:Code OravarcTranslated from Armenian",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/9476838
Stone,No,Not available,5,58 sq.m.,1,1,from 3 m,2,Closed balcony,Major Renovation,"Shahumyan street 20, Jermuk","10,000 ֏ monthly",AMD,"Տրվում է օրավարձով բնակարան Ջորմուկի, Ձախափնյակ թաղամասում ։Առկա են կոմունալ բոլոր հարմարությունները։Մշտական տաք և սառը ջուր, լվացքի մեքենա, սառնարան։Տրվում է մինիմում 2 օր և ավել մնալու դեպքում։",Nov-24-2022_17-50,,,,,,,,,,https://list.am/en/item/14516395
Stone,No,Not available,3,55 sq.m.,3,1,from 2.75 m,3,Open balcony,Euro Renovation,"Ստեփան Շահումյանի փողոց 2, Ջերմուկ","15,000 ֏ daily",AMD,Euro-renovated apartment with a beautiful view on the right bank of Jermuk is for rent.Translated from Armenian,Nov-24-2022_17-50,,,,,5.0,Yes,No,Included,By Agreement,https://list.am/en/item/17954902
Stone,No,Not available,4,42 sq.m.,2,1,from 2.5 m,2,Not available,Partial Renovation,Vayots Dzor › Jermuk,"70,000 ֏ monthly",AMD,"A house in Termuk, near the Termuk group, below the bridge.Translated from Armenian",Nov-24-2022_17-50,,,,,2.0,Yes,No,By Agreement,By Agreement,https://list.am/en/item/18198411
Panels,No,Not available,5,76 sq.m.,3,1,from 2.7 m,3,Closed balcony,Major Renovation,Vayots Dzor › Jermuk,"25,000 ֏ daily",AMD,"A 3-room apartment is for daily rent, in Dzakhapnyak district of Jermuk city. The apartment is fully renovated, has hot water, unlimited internet, Wi-Fi.Translated from Armenian",Nov-24-2022_17-50,,,,,5.0,Yes,No,Not included,Without prepayment,https://list.am/en/item/18181291
Stone,No,Not available,3,30 sq.m.,2,1,from 2.7 m,3,Closed balcony,Euro Renovation,"Մյասնիկյան փողոց 18, Ջերմուկ","11,000 ֏ daily",AMD,"Apartment for rent in Jermuk, in the resort area of the city, the apartment is fully renovated, provided with all the amenities, for details call the mentioned phone numberTranslated from Armenian",Nov-24-2022_17-51,Available,,,,3.0,Yes,No,By Agreement,By Agreement,https://list.am/en/item/16412284
Stone,No,Not available,5,48 sq.m.,1,1,from 2.8 m,1,Not available,Major Renovation,Vayots Dzor › Jermuk,"12,000 ֏ daily",AMD,"Տրվումե օրավարձով (վարձով) 1 սենյականոց բնակարան ջերմուկում՚ բնակարանը կապիտալ վերանորոգված է ունի կոմունալ բոլոր հարմարություններն։Մանրամասների համար զանգահարել նշված հեռախոսահամարովСдается однокомнатная квартира посуточно в Джермуке, в квартире сделан капитальный ремонт, есть все коммунальные удобства.За подробностями звоните по указанному номеру телефона",Nov-24-2022_17-51,,,,,,,,,,https://list.am/en/item/17878451
Stone,No,Not available,5,40 sq.m.,1,1,from 2.8 m,3,Closed balcony,Euro Renovation,Vayots Dzor › Jermuk,"8,000 ֏ daily",AMD,Apartment for daily rent in Jermuk city. In Dzaghapnyak district.Translated from Armenian,Nov-24-2022_17-51,,,,,3.0,Yes,No,Included,2 weeks,https://list.am/en/item/17626957
Stone,No,Available,2,53 sq.m.,2,1,from 3 m,1,Not available,Major Renovation,"Shahumyan street, Jermuk","15,000 ֏ daily",AMD,"Hot and cold water, Wi-Fi, provided with property and necessary equipment, has a parking space, is located in the heart of the city.Translated from Armenian",Nov-24-2022_17-51,,,,,,,,,,https://list.am/en/item/18273260
Stone,No,Not available,5,35 sq.m.,2,1,from 2.8 m,1,Not available,Major Renovation,Vayots Dzor › Jermuk,"12,000 ֏ daily",AMD,"2 rooms for daily rent in Jermuk (right bank) Apartment with all utilities (hot and cold water, refrigerator, gas stove, kettle, WiFi, heating, etc.)Basic household items are also provided: Dishes, linens, coffee, tea. The apartment opens directly to the central Shahumyan street, it is located in a beautiful place, in front of a fir grove, where you can enjoy your morning coffee, and not only that.)A daily cleaning service is also available for an additional fee of AMD 2000.The apartment is designed for a maximum of 4 people.Translated from Armenian",Nov-24-2022_17-51,,,,,,,,,,https://list.am/en/item/18025773
Stone,No,Not available,5,50 sq.m.,3,1,from 2.8 m,1,Not available,Major Renovation,Vayots Dzor › Yeghegnadzor,"90,000 ֏ monthly",AMD,"Address Mikoyani 22/28 house, High first floor, sunny side, has a basement, located at the back of the bus station. Gas, hot and cold water, refrigerator, washing machine, gas stove, TV, also furnished.Translated from Armenian",Nov-24-2022_17-51,,,,,,,,,,https://list.am/en/item/18231124
Stone,No,Not available,5,75 sq.m.,3,1,from 2.8 m,4,Closed balcony,Cosmetic Renovation,"Shahumyan street, Jermuk","13,000 ֏ daily",AMD,"The apartment is located in the center of Jermuk (right bank), 3 rooms, renovated, has a central heating system, for pictures write to WhatsAppWe also have other optionsTranslated from Armenian",Nov-24-2022_17-51,,,,,,,,,,https://list.am/en/item/17567329
Stone,No,Not available,5,47 sq.m.,1,1,from 2.7 m,4,Closed balcony,Cosmetic Renovation,"Ձախափնյակ թաղամաս 3/5, Ջերմուկ","60,000 ֏ monthly",AMD,"The house is in normal condition, all the first necessary conditions and accessories are availableTranslated from Armenian",Nov-24-2022_17-51,Available,,,,2.0,Yes,No,Not included,3 months,https://list.am/en/item/17573628
Stone,No,Not available,5,80 sq.m.,4,1,from 2.8 m,5,Closed balcony,Major Renovation,Vayots Dzor › Jermuk,"25,000 ֏ daily",AMD,"In the center of picturesque Jermuk, a comfortable 4-room apartment is for daily rent in the center. The apartment is fully renovated, there is furniture, appliances, individual heating system, dishes, bedding, towels. Dear guests, the price can change depending on the season and the number of days.Translated from Armenian",Nov-24-2022_17-51,,,,,4.0,Yes,No,Included,By Agreement,https://list.am/en/item/16873534
Stone,No,Not available,1,49 sq.m.,3,1,from 2.7 m,1,Not available,Euro Renovation,"Ստեփան Շահումյանի փողոց 2/1, Ջերմուկ","18,000 ֏ daily",AMD,"Տրվում է վարձով բնակարան, հագեցած ամեն ինչով, տաք հատակ, ջեռուցում, լվացքի մեքենա, առանձին մուտքովСдаётся квартира в аренду, тёплые полы, с отоплением, все удобство, в санаторной части города, отдельный вход",Nov-24-2022_17-51,,,,,4.0,Yes,Yes,Not included,By Agreement,https://list.am/en/item/17073464
Panels,No,Not available,5,50 sq.m.,2,1,from 2.8 m,2,Open balcony,Designer Renovation,"Ձախափնյակ թաղամաս 3/48, Ջերմուկ","15,000 ֏ daily",AMD,"A luxurious apartment is for rent in Jermuk. The apartment is fully renovated and furnished with brand new furniture, there is everything to live in the house. Washing machine microwave oven. You only need to bring a towel.Please call VIBER or VOTSAPPTranslated from Armenian",Nov-24-2022_17-51,,,,,,,,,,https://list.am/en/item/17596450
