Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links
Retail Space,60 sq.m.,Armavir › Echmiadzin,"60,000 ֏",AMD,"Կոմերցյոն տարածքը կիսանկուղային է, ունի մոտակայքում սանհանգույց և ջուր, նոր վերանորոգված է։Տրվում է նաև առանձին տարբերակով 25մ և 35մ մակերեսներով։Տարածքը գտնվում է Yerevan City-ի հարևանությամբКоммерческая площадь имеет полуподвал, рядом есть санузел и вода, свежий ремонт.Он также дан в отдельной версии с поверхностями 25 м и 35 м.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17632325
Industrial and Manufacturing,500 sq.m.,"Էջմիածին փողոց 1, Պտղունք","120,000 ֏",AMD,"We provide more than 1600 square meters. Total area, of which about 500 square meters are buildings. Has a living area. The whole area is fenced. The area has two entrances. Suitable for production activities. Can be used as a warehouse, furniture factory, livestock farm, for other purposes.Productuon and spare premises for rent: Area 1600 sq. M: Buildings 600 sq. M:Arenda Production o-warehouse squares. Area of 1600 square meters. Building 600 sq. M. M:Translated from Armenian",Nov-24-2022_22-29,Available,Not available,Other,Common from the Street,,Direct Lease,6 months,Without prepayment,Not included,https://list.am/en/item/17804802
Automotive Service,100 sq.m.,"Улица Карена Демирчяна 9, Паракар","300,000 ֏",AMD,Gortsokh Auto Service is for rentTranslated from Armenian,Nov-24-2022_22-29,Available,Not available,First Line,Common from the Street,,Direct Lease,1 year,6 months,By Agreement,https://list.am/en/item/18370224
Retail Space,278 sq.m.,"Baghramyan street 13, Armavir","500,000 ֏",AMD,"For sale ($280,000) or for rent (500,000 AMD)Located in a very busy area, front line 18 meters frontage. For details, call the indicated phone number.Hint words - shop, hall, market, supermarket, Oktemberyan Armavir, sports hall, logistics, office, office, market, supermarket, gym, clothing store, shoe storeTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16703265
Functioning Business,278 sq.m.,"Մարշալ Բաղրամյան փողոց 13, Արմավիր","500,000 ֏",AMD,"For sale ($280,000) or for rent (500,000 AMD)Located in a very busy area, front line 18 meters frontage. For details, call the indicated phone number.Hint words - shop, hall, market, supermarket, Oktemberyan Armavir, sports hall, logistics, office, office, market, supermarket, gym, clothing store, shoe storeTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18313509
Multifunctional Space,45 sq.m.,Armavir › Parakar,"200,000 ֏",AMD,"The area is in ParakarA commercial space with its own apartment is for rent.The area is divided into 2 parts, from the front is the commercial area and then the apartment.We have done a CAPITAL renovation. Any items in the apartment are new and unused• new furniture• new laminate• new chandeliers• new electronics• new pipes• new power cords• new BAXI• new windowsHe has no problem with the papers.The apartment is UNOCCUPIED. It is sold together with furniture. Very high style design work was done, as a result of which we got a high level of comfort. It has all the utilities. There is a camera installed in the yard.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18115562
Restaurant,400 sq.m.,Armavir › Echmiadzin,"200,000 ֏",AMD,"300m from Etchmiadzin, a banquet hall is for rent, located in a huge fenced area. We have other events. Birthday, wedding, day out with the pool, etc. Moreover, the food can be either brought in or prepared on the spot.There may be a fee for the hall or a chair, which may range from 7-13,000 AMD, depending on the number of dishes.There are also guest houses and rooms, as well as houses for rent in the area.Translated from Armenian",Nov-24-2022_22-29,Available,Not available,Second Line,Separate from the Courtyard,,Direct Lease,1 year,2 weeks,Included,https://list.am/en/item/18063518
Multifunctional Space,55 sq.m.,Armavir › Echmiadzin,"150,000 ֏",AMD,"The area is in Zvartnots. 55 sq. M. Bathroom. Busy section. Suitable for office, grocery store, beauty salon and other activities.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16439426
Agricultural Space,4500 sq.m.,"Echmiatsin Highway, Khoronk","1,200,000 ֏",AMD,"Greenhouse without gas, electricity, water, drip, distribution system, cameras, signaling, fruit and vegetable refrigerator, storage, etc. , call for details.Translated from Armenian",Nov-24-2022_22-29,Available,Not available,First Line,Separate from the Street,,Direct Lease,1 year,3 months,Not included,https://list.am/en/item/18223398
Retail Space,120 sq.m.,Armavir › Parakar,"150,000 ֏",AMD,Տրվում է վարձով առեվտրային տարածք Փարաքարում. Տարածքը ապահովված է բոլոր կոմունալ հարմարություններով ։,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16108097
Functioning Business,250 sq.m.,"Erevanyan street, Parakar","400,000 ֏",AMD,"Bakery, tonrat house, beer house are for rent on the 1st line on Yerevan-Echmiadzin road. It is provided with all the communal amenities.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16448754
Industrial and Manufacturing,110 sq.m.,Armavir › Echmiadzin,"150,000 ֏",AMD,Industrial area for rentIn Musaler 1O8 sq / mTranslated from Armenian,Nov-24-2022_22-29,Not available,Not available,Second Line,Separate from the Courtyard,,Direct Lease,9 months,By Agreement,Included,https://list.am/en/item/14240451
Warehouse,40 sq.m.,Armavir › Musaler,"60,000 ֏",AMD,An area of 40 square meters is for rent in Musaler village (46 Baghramyan street) You can use the area as a warehouse. It is provided with water and light.Length 10 m.Width 4 m.Height 2.20 m.Price is negotiableTranslated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17627753
Retail Space,35 sq.m.,Armavir › Dasht,"200,000 ֏",AMD,"The area is located on the Ashtarak-Echmiadzin highway, it is suitable for any type of activity, it is fully renovated, it has a bathroom, constant water and three-phase electricity. There are also storage areas on the mezzanine floor.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18244752
Office Space,200 sq.m.,"Hanrapetutyun street 6, Armavir","550,000 ֏",AMD,"В центре города Армавир (50км от Еревана) сдается в аренду офисное помещение в 200 кв/м. Новый высококачественный ремонт, евро-окна, пол из качественного ламината и прессгранитной плитки, 2 полностью отремонтированных и оборудованных санузла, 10 офисных комнат, свет, вода, интернет. 30кв/м на первом этаже и 170 кв/м на втором. После ремонта не сдавался.Рядом - городской парк, областная больница, банки и финансовые организации, нотариальная контора и другие инфраструктурные организации.Помещение удобно для IT офисов, фин-организаций (банки, кредитные организации, страховые компании), клиник, Back Offices и других офисов.Արմավիրի կենտրոնում և շատ բանուկ տեղում վարձով է տրվում գրասենյակային տարածք։ Նոր բարձրակարգ վերանորոգում, եվրոլուսամուտներ, հատակները պրեսգրանիտ և բարձրակարգ լամինատ, բարձրակարգ սալիկներով սալիկապատված 2 ամբողջովին կահավորված սանհանգույց, 10 աշխատասենյակ, մեծ նախասրահ/ընդունարան։ Հարևանությամբ՝ քաղաքային զբոսայգին, մարզային հիվանդանոցը, բանկեր, վարկային կազմակերպություններ, ապահովագրական կազմակերպություններ, կադաստր, նոտար և այլն։ 30ք․մ 1-ին հարկում է (նախասրահ), իսկ 170ք․մ 2-րդ հարկում (աշխատասենյակներ) ։ Շատ հարմար է IT կազմակերպության, կլինիկայի, ֆինանսական կազմակերպության և ցանկացած գրասենյակի համար։",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16637202
Warehouse,206 sq.m.,Armavir › Parakar,"1,750,000 ֏",AMD,"For rent, you can use it as a workshop, with a camera.Translated from Armenian",Nov-24-2022_22-29,Not available,Not available,Second Line,Common from the Street,GArage,Direct Lease,1 year,By Agreement,By Agreement,https://list.am/en/item/18159568
Office Space,100 sq.m.,"Աբովյան փողոց 57/1, Արմավիր","300,000 ֏",AMD,"It is for rent, it has 6 separate rooms, it has been completely renovated with a modern design. All rooms have cable internet, cameras, with fire protection systems, hot and cold water with their own sewers, there is also a common Wi-Fi, and it has one separate toilet. For more information call...Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18004273
Retail Space,80 sq.m.,"Պետրոզավոդսկ փողոց 54, Վաղարշապատ","300,000 ֏",AMD,"Vegetable shop for rent, adjacent tonratun, with 2 tonir, for lavash and barbecue / kitchen (partially renovated), gas, water, light, pastry for lavash /Translated from Armenian",Nov-24-2022_22-29,Available,Not available,First Line,Common from the Street,,Direct Lease,6 months,2 months,Not included,https://list.am/en/item/17978471
Warehouse,56 sq.m.,"Մերձավանի խճուղի 1, Փարաքար","60,000 ֏",AMD,"Պահեստ, տարածք, վարձով պահեստ, помещение для склада, склад в аренду56 քառակուսի մետր, 14 մետր երկարությամբ, 4 մետր լայնությամբ, 2,5 մ բարձրությամբ;Գտնվում է բնակելի առանձնատան հարևանությամբ, ունի առանձին մուտք երկաթե դարպասով; Կա մշտական ջուր, եռաֆազ հոսանք, սանհանգույց։Площадь помещения 56квадратных метров, длина 14м, ширина 4м, высота 2,5м. Нажодится по соседству частного дома, имеет автономный вход, дверь металлический, есть постоянная вода, электричество, санузел.",Nov-24-2022_22-29,Not available,Not available,Second Line,Separate from the Street,,Direct Lease,1 year,Without prepayment,Not included,https://list.am/en/item/18267433
Retail Space,50 sq.m.,Armavir › Shahumyan,"80,000 ֏",AMD,It used to be a grocery store and also has a warehouse.Translated from Armenian,Nov-24-2022_22-29,Available,Not available,First Line,Separate from the Street,,Direct Lease,1 year,2 months,Not included,https://list.am/en/item/17229195
Industrial and Manufacturing,4000 sq.m.,"Armavir Highway, Metsamoravan","500,000 ֏",AMD,"Livestock building is for rent, it is located 1 km away from Yerevan Armavir M5 highway, in front of the gas station, on the road, it is convenient for undertaking various production activities, there is electricity, drinking and well water. The area is fenced.Translated from Armenian",Nov-24-2022_22-29,Not available,Not available,First Line,Separate from the Street,,Direct Lease,1 year,1 month,Not included,https://list.am/en/item/15880441
Retail Space,60 sq.m.,Armavir › Armavir,"40,000 ֏",AMD,"Domik _ plot of land. Close to the train and bus station, suitable for selling agricultural and economic goods. Previously, there was a 17-year-old business license.The land is also for sale with Domik.The house is ""7x3.5/24.5 sq. M.The cottage has two roomsIt is in good condition. It has an iron door and window.The price of the house is AMD 850,000.The rent is AMD 40,000.With Landlord and Domik""The price is AMD 6,500,000.NegotiableUrgent.The area is intended for a two-story structure.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17485895
Industrial and Manufacturing,10 sq.m.,"3-րդ թաղամաս 121, Վաղարշապատ","$17,500",USD,"Business for sale in EtchmiadzinDESCRIPTION:Fodder production for sale.The business has been operating since 2016, thanks to its honest and conscientious work, it has gained a great reputation, both in Etchmiadzin and in all the surrounding villages.The business includes:-mill, drum (KDU-2), which is in very good condition.Truck (FORD TRANSIT) which is also in very good condition.-2 phone number through which customers call; on the contrary, there are also customer phone numbers.The area is rented:The business is still operating, for all other questions call the mentioned phone number.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16309035
Retail Space,70 sq.m.,"Misak Manushyan street 1, Vagharshapat","100,000 ֏",AMD,"Also FOR SALE - $62,000Address Zvartnots 1,Right next to the bus stop,very busy placefirst linehot/cold water,three-phase current,Suitable for any business,It is given for a minimum of 6 months (100,000 AMD), then 150,000 AMD, with a deposit.Also FOR SALE - $59,000Call for more detailsTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17898600
Retail Space,36 sq.m.,"Patkanyan Street, Yerevan","90,000 ֏",AMD,"In the city of EJMIATSIN, on Patkanyan street, a space is FOR SALE or for rent, which is suitable for both office and trade. The space is renovated, has a bathroom.Translated from Armenian",Nov-24-2022_22-29,Not available,Not available,First Line,Separate from the Street,,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/17930035
Functioning Business,26 sq.m.,"Nalbandyan street, Armavir","46,000 ֏",AMD,"Newly built, renovated. Very bright.It has a separate rest room that you can use. It is available for rent.For more information call.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17582104
Agricultural Space,30 sq.m.,"Հ. Աբրահամյան փողոց 15, Փարաքար","10,000 ֏",AMD,"Մրգի սառնարան, նախատեսված է 25 ից 30 տոննա մրգի համար ։",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17778102
Warehouse,250 sq.m.,"H. Abrahamyan street 15, Parakar","20,000 ֏",AMD,Storage area:Translated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17866955
Multifunctional Space,60 sq.m.,"Erevanyan street 9, Parakar","150,000 ֏",AMD,"60 sq. M. Apartment is for rent in Parakar, on the very edge of the highway from Zvartnots airport to Yerevan, on the sidewalk in front of the Gai post. To start a bakery, warehouse and other different businesses. If desired, we can expand the area up to 120 sq / m։ more.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17691040
Retail Space,1200 sq.m.,Armavir › Parakar,"$4,000",USD,Multifunctional common area first line. It is convenient to carry out various activities.Translated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18068314
Retail Space,580 sq.m.,Armavir › Parakar,"$4,000",USD,"""Parakar"" business center offers commercial space on the first floor. The business center is located on the road to the airport, first line. There is no supermarket in the area, therefore it is in high demand. The center also has a large parking lot, a large warehouse and a garage.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18023755
Multifunctional Space,300 sq.m.,"H. Abrahamyan street 19, Parakar","$3,500",USD,"Վարձակալության են տրվում առևտրային և Գրասենյակային տարածքներ: Տարածքները կարող են ծառայել ` Սուպերմարկետի, դեղատան, արագ սննդի կետի և նմանատիպ այլ գործունեություն ծավալելու համար:",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17564783
Office Space,290 sq.m.,Armavir › Parakar,"$2,300",USD,Все вопросы по телефону,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17795970
Warehouse,25 sq.m.,"8-րդ փողոց 4, Նորակերտ","100,000 ֏",AMD,"Refrigeration area. Thanks to the use of high-quality units, it ensures the temperature of the chamber from -5 to + 20 degrees Celsius. It is suitable for long-term and high-quality storage of any type of fruit or vegetable.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17394021
Retail Space,250 sq.m.,Armavir › Parakar,"330,000 ֏",AMD,"Վարձով է տրվում նորակառույց կոմերցիոն տարածք։1ին գիծ, 2 մուտք, նոր վերանորոգված, մեծ կայանատեղի, արևկողմ, օդորակիչ, անվտանգության տեսախցիկներ, զուգարան, առանձին սենյակ (18ք/մ), ճակատային մաս 12մ, երկարություն11մ, շինությունը 125ք/մ, հողատարացք 250ք/մ,Հարմար է ցանկացած գործունեության համար, մարկետ, գրասենյակ, կոմերցիոն տարածք, խանութ։Տրվում է Երկարաժամկետ, և պայմանագրով։Փարաքար, ԳԱԻ պոստի հարևանությամբ ։Մանրամասն հեռախոսով.Сдается в аренду новое торговое помещение.1-я линия, 2 входа, новый ремонт, большая парковка, солнечная сторона, кондиционер, камеры видеонаблюдения, туалет, комната отдельная (18 кв/м), парадная 12м, длина 11м, здание 125 кв/м, площадь участка 250 кв. /м,Подходит под любой вид деятельности, рынок, офис, торговое помещение, магазин.Сдается на долгосрочной основе и по договору.Паракар, рядом с постом ГАИ.Подробности по телефону",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18088415
Industrial and Manufacturing,200 sq.m.,Armavir › Armavir,"400,000 ֏",AMD,Fruit refrigerator. Fruit refrigerators with a capacity of 30 to 50 tons are for rent in Armavir. For more information call.Translated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17804811
Multifunctional Space,1200 sq.m.,Armavir › Parakar,"$2,000",USD,"Գրասենյակային տարածքներ սկսած 18քմ-ից։1 քմ արժեքը 10.000 դրամ է, որն իր մեջ ներառում է էլեկտրաէներգիա, ջրամատակարարում, ջեռուցում և հովացում, հակահրդեհային անվտանգություն, գրասենյակների մաքրություն և աղբահանություն, անվտանգություն, անվճար ավտոկայանատեղի նախատեսված 20-25 մեքենաների համար։Офисные площади от 18 кв. М. , стоимость 1 кв. М 10 000 драм, в которые входит электричество, водоснабжение, отопление-охлаждение, пожарная безопасность, парковка, вывоз мусора, охрана, бесплатная парковка 20 -25. Для автомобилей.ВСЕ ВОПРОСЫ ПО ТЕЛЕФОНУԿոդ SV121",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17811636
Retail Space,76 sq.m.,"Charents street, Vagharshapat","200,000 ֏",AMD,"The area is located in Charents (Boin) district, at the Main intersection. It is newly built and has not been exploited.Translated from Armenian",Nov-24-2022_22-29,Not available,Not available,First Line,Separate from the Street,,Direct Lease,6 months,1 month,Not included,https://list.am/en/item/16964410
Automotive Service,100 sq.m.,Armavir › Tairov,"300,000 ֏",AMD,Provided by Vartsot Car serviceTranslated from Armenian,Nov-24-2022_22-29,Not available,Not available,First Line,Common from the Street,,Direct Lease,5 years,6 months,Included,https://list.am/en/item/17300103
Retail Space,25 sq.m.,"1district, Metsamor","50,000 ֏",AMD,"The shop is for rent, for details call the mentioned phone number.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18000212
Office Space,90 sq.m.,"Marshal Baghramyan avenue, Yerevan","$1,500",USD,"Etchmiadzin, in the center, on the main street, contact European. , always Hot, cold water, gas, heated floors, air conditioning, cameras, suitable for every activity.Translated from Armenian",Nov-24-2022_22-29,Not available,Not available,First Line,Separate from the Street,,Direct Lease,6 months,1 month,Not included,https://list.am/en/item/18305747
Multifunctional Space,300 sq.m.,Armavir › Metsamor,$500,USD,"150 m + 150 m upper and basement. Three-phase electricity, gasified, equipped with heating systemTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16241300
Retail Space,170 sq.m.,"Մայրաքաղաքային փողոց 119, Երևան","500,000 ֏",AMD,"Commercial space for rent in Argavand, 1st lane, next to Beko store. The area is renovated. Suitable for any activity. It also has a storage space for an additional fee.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18253970
Industrial and Manufacturing,500 sq.m.,"Admiral Isakov Avenue, Yerevan","$1,400",USD,"A workshop for handmade carpets, which can be used for any other production purposes, is for rent in Argavand, 150 m from the intersection to the airport on the right.All the necessary devices for the development of the activity are available.1. 9 machines2. Paint house3. Dryer4. Warehouse5. Shear workshop6. Laundry workshop7. Three-phase currentIt is subject to full operation.The real estate can also be used for other production or commercial purposesartadramas, artadrakan, pahest, maltia, argavand.Translated from Armenian",Nov-24-2022_22-29,Available,Not available,Second Line,Separate from the Street,COvered parking,Direct Lease,6 months,By Agreement,Not included,https://list.am/en/item/18081774
Retail Space,111 sq.m.,"Mesrop Mashtots street 20, Vagharshapat","550,000 ֏",AMD,A two-story commercial space is for rent in Etchmiadzin (Vagharshapat) with a total area of 111 square meters. It also has a basement. The area is located in the central part of Etchmiadzin city. The space is multifunctional and can be used for office as well as other types of activities. It has a bathroom.Translated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18279986
Multifunctional Space,300 sq.m.,"Улица Месропа Маштоца 61/56, Вагаршапат","$1,000",USD,"For rent 300 square meters inside Tigran Mets buildingFor details, call real people.Translated from Armenian",Nov-24-2022_22-29,By agreement,Not available,First Line,Separate from the Street,,Direct Lease,1 month,By Agreement,By Agreement,https://list.am/en/item/17976165
Retail Space,100 sq.m.,"Hanrapetutyun street, Armavir","150,000 ֏",AMD,The existing bread and pastry factory is for rent.Translated from Armenian,Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16038989
Retail Space,90 sq.m.,"Բաղրամյան փողոց 17, Արմավիր","300,000 ֏",AMD,"A new 2-storey shop is for rent, each floor is 90 square meters, suitable for any type, the business space is located in the city, 1 lineTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/17653415
Retail Space,78 sq.m.,Armavir › Echmiadzin,"150,000 ֏",AMD,"The surface of the area: 60 square meters. It is located in the center, on the intersection, it has facades on both sides. Newly renovated. Suitable for office, trade and other activities. Air conditioner, three-phase current is installed.Translated from Armenian",Nov-24-2022_22-29,Not available,Not available,First Line,Separate from the Street,,Direct Lease,6 months,1 month,Not included,https://list.am/en/item/11699084
Warehouse,220 sq.m.,Armavir › Armavir,"150,000 ֏",AMD,"Warehouses for rent, 130m2 and 90m2 with a height of 7.8 meters, suitable for various activities, in Bangladesh district of Armavir city, residential areaTranslated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18157259
Retail Space,160 sq.m.,Armavir › Echmiadzin,"450,000 ֏",AMD,"K. A commercial space is for rent on the main street, not far from the center of Etchmiadzin. The price is negotiable.Translated from Armenian",Nov-24-2022_22-29,Available,Not available,First Line,Common from the Street,OUtdoor parking,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/14284253
